Subject,Predicate W/ Prepositions,Object Subtree,Object,Predicate,Sentence,Parse Tree
founders,were ,Set,Set,were,"key FOUNDERS of the temple of set were michael a. aquino , lilith sinclair ( aquino ’s wife ) , and","[('Key', 'amod', 'ADJ', []), ('founders', 'nsubj', 'NOUN', [Key, of]), ('of', 'prep', 'ADP', [Temple]), ('the', 'det', 'DET', []), ('Temple', 'pobj', 'PROPN', [the, of]), ('of', 'prep', 'ADP', [Set]), ('Set', 'pobj', 'PROPN', []), ('were', 'ROOT', 'VERB', [founders, Aquino]), ('Michael', 'compound', 'PROPN', []), ('A.', 'compound', 'PROPN', []), ('Aquino', 'attr', 'PROPN', [Michael, A., ,, Sinclair]), (',', 'punct', 'PUNCT', []), ('Lilith', 'compound', 'PROPN', []), ('Sinclair', 'conj', 'PROPN', [Lilith, wife, ,, and]), ('(', 'punct', 'PUNCT', []), ('Aquino', 'poss', 'PROPN', [’s]), ('’s', 'case', 'PART', []), ('wife', 'appos', 'NOUN', [(, Aquino, )]), (')', 'punct', 'PUNCT', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
It,is ,"an initiatory society devoted to the Egyptian god Set ( also known as Seth ) , whom members do not consider evil",society,is,"it is an initiatory society devoted to the egyptian god set ( also known as seth ) , whom members do not consider evil , but","[('It', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [It, society, ,, but]), ('an', 'det', 'DET', []), ('initiatory', 'amod', 'ADJ', []), ('society', 'attr', 'NOUN', [an, initiatory, devoted, consider]), ('devoted', 'acl', 'VERB', [to]), ('to', 'prep', 'ADP', [god]), ('the', 'det', 'DET', []), ('Egyptian', 'amod', 'ADJ', []), ('god', 'pobj', 'NOUN', [the, Egyptian, Set, ,]), ('Set', 'appos', 'PROPN', [known]), ('(', 'punct', 'PUNCT', []), ('also', 'advmod', 'ADV', []), ('known', 'parataxis', 'VERB', [(, also, as, )]), ('as', 'prep', 'ADP', [Seth]), ('Seth', 'pobj', 'PROPN', []), (')', 'punct', 'PUNCT', []), (',', 'punct', 'PUNCT', []), ('whom', 'pobj', 'NOUN', []), ('members', 'nsubj', 'NOUN', []), ('do', 'aux', 'VERB', []), ('not', 'neg', 'ADV', []), ('consider', 'relcl', 'VERB', [whom, members, do, not, evil]), ('evil', 'dobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('but', 'cc', 'CCONJ', [])]"
extent,is because,satanism,satanism,is,"the EXTENT of satanism is impossible to gauge , because of the secrecy of many organizations .","[('The', 'det', 'DET', []), ('extent', 'nsubj', 'NOUN', [The, of]), ('of', 'prep', 'ADP', [satanism]), ('satanism', 'pobj', 'NOUN', []), ('is', 'ROOT', 'VERB', [extent, impossible, ,, because, .]), ('impossible', 'acomp', 'ADJ', [gauge]), ('to', 'aux', 'PART', []), ('gauge', 'xcomp', 'VERB', [to]), (',', 'punct', 'PUNCT', []), ('because', 'prep', 'ADP', [of, secrecy]), ('of', 'pcomp', 'ADP', []), ('the', 'det', 'DET', []), ('secrecy', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [organizations]), ('many', 'amod', 'ADJ', []), ('organizations', 'pobj', 'NOUN', [many]), ('.', 'punct', 'PUNCT', [])]"
it,carried about,day and,day,carried,has IT carried about day and,"[('has', 'aux', 'VERB', []), ('it', 'nsubj', 'PRON', []), ('carried', 'ROOT', 'VERB', [has, it, about]), ('about', 'prep', 'ADP', [day]), ('day', 'pobj', 'NOUN', [and]), ('and', 'cc', 'CCONJ', [])]"
They,are ,"powerful protectors , and",protectors,are,"they are powerful protectors , and","[('They', 'nsubj', 'PRON', []), ('are', 'ROOT', 'VERB', [They, protectors]), ('powerful', 'amod', 'ADJ', []), ('protectors', 'attr', 'NOUN', [powerful, ,, and]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Scot,was ,openly derisive of prevailing beliefs that witches were servants of the DEVIL and,derisive,was,reginald scot was openly derisive of prevailing beliefs that witches were servants of the devil and,"[('Reginald', 'compound', 'PROPN', []), ('Scot', 'nsubj', 'PROPN', [Reginald]), ('was', 'ROOT', 'VERB', [Scot, derisive]), ('openly', 'advmod', 'ADV', []), ('derisive', 'acomp', 'ADJ', [openly, of]), ('of', 'prep', 'ADP', [beliefs]), ('prevailing', 'amod', 'VERB', []), ('beliefs', 'pobj', 'NOUN', [prevailing, were]), ('that', 'mark', 'ADP', []), ('witches', 'nsubj', 'NOUN', []), ('were', 'acl', 'VERB', [that, witches, servants, and]), ('servants', 'attr', 'NOUN', [of]), ('of', 'prep', 'ADP', [DEVIL]), ('the', 'det', 'DET', []), ('DEVIL', 'pobj', 'PROPN', [the]), ('and', 'cc', 'CCONJ', [])]"
He,was ,skeptical of the ability of DEMONs and,skeptical,was,he was skeptical of the ability of demons and,"[('He', 'nsubj', 'PRON', []), ('was', 'ROOT', 'VERB', [He, skeptical]), ('skeptical', 'acomp', 'ADJ', [of]), ('of', 'prep', 'ADP', [ability]), ('the', 'det', 'DET', []), ('ability', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [DEMONs]), ('DEMONs', 'pobj', 'NOUN', [and]), ('and', 'cc', 'CCONJ', [])]"
Scot,was ,"a DEMONOLOGIST , clergyman , or",DEMONOLOGIST,was,"scot was not a demonologist , clergyman , or","[('Scot', 'nsubj', 'PROPN', []), ('was', 'ROOT', 'VERB', [Scot, not, DEMONOLOGIST]), ('not', 'neg', 'ADV', []), ('a', 'det', 'DET', []), ('DEMONOLOGIST', 'attr', 'NOUN', [a, ,, clergyman]), (',', 'punct', 'PUNCT', []), ('clergyman', 'appos', 'NOUN', [,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
father,was ,"Richard Scot , the youngest of three sons of Sir John Scot , a wealthy landowner",Scot,was,"his FATHER was richard scot , the youngest of three sons of sir john scot , a wealthy landowner .","[('His', 'poss', 'ADJ', []), ('father', 'nsubj', 'NOUN', [His]), ('was', 'ROOT', 'VERB', [father, Scot, .]), ('Richard', 'compound', 'PROPN', []), ('Scot', 'attr', 'PROPN', [Richard, ,, youngest]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('youngest', 'appos', 'ADJ', [the, of]), ('of', 'prep', 'ADP', [sons]), ('three', 'nummod', 'NUM', []), ('sons', 'pobj', 'NOUN', [three, of]), ('of', 'prep', 'ADP', [Scot]), ('Sir', 'compound', 'PROPN', []), ('John', 'compound', 'PROPN', []), ('Scot', 'pobj', 'PROPN', [Sir, John, ,, landowner]), (',', 'punct', 'PUNCT', []), ('a', 'det', 'DET', []), ('wealthy', 'amod', 'ADJ', []), ('landowner', 'appos', 'NOUN', [a, wealthy]), ('.', 'punct', 'PUNCT', [])]"
wife,was ,"Jane Cobbe , whom he married on October 11 , 1568",Cobbe,was,"his ﬁrst WIFE was jane cobbe , whom he married on october 11 , 1568 .","[('His', 'poss', 'ADJ', []), ('ﬁrst', 'amod', 'ADJ', []), ('wife', 'nsubj', 'NOUN', [His, ﬁrst]), ('was', 'ROOT', 'VERB', [wife, Cobbe, .]), ('Jane', 'compound', 'PROPN', []), ('Cobbe', 'attr', 'PROPN', [Jane, ,, married]), (',', 'punct', 'PUNCT', []), ('whom', 'dobj', 'NOUN', []), ('he', 'nsubj', 'PRON', []), ('married', 'relcl', 'VERB', [whom, he, on]), ('on', 'prep', 'ADP', [October]), ('October', 'pobj', 'PROPN', [11, ,, 1568]), ('11', 'nummod', 'NUM', []), (',', 'punct', 'PUNCT', []), ('1568', 'nummod', 'NUM', []), ('.', 'punct', 'PUNCT', [])]"
He,is ,so strong that he restrains the stars of heaven,strong,is,"he is so strong that he restrains the stars of heaven , and","[('He', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [He, strong, ,, and]), ('so', 'advmod', 'ADV', []), ('strong', 'acomp', 'ADJ', [so, restrains]), ('that', 'mark', 'ADP', []), ('he', 'nsubj', 'PRON', []), ('restrains', 'ccomp', 'VERB', [that, he, stars]), ('the', 'det', 'DET', []), ('stars', 'dobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [heaven]), ('heaven', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
that,were ,nothing but falsehood,nothing,were,THAT were nothing but falsehood .,"[('that', 'nsubj', 'ADJ', []), ('were', 'ROOT', 'VERB', [that, nothing, .]), ('nothing', 'attr', 'NOUN', [but]), ('but', 'prep', 'ADP', [falsehood]), ('falsehood', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
charms,were ,the church,church,were,"according to the church , CHARMS were lawful because they contained nothing superstitious , whereas magical conjurations were said to be based on false superstition .  ","[('According', 'prep', 'VERB', [to]), ('to', 'prep', 'ADP', [church]), ('the', 'det', 'DET', []), ('church', 'pobj', 'NOUN', [the]), (',', 'punct', 'PUNCT', []), ('charms', 'nsubj', 'NOUN', []), ('were', 'ROOT', 'VERB', [According, ,, charms, lawful, contained, ,, said, .]), ('lawful', 'acomp', 'ADJ', []), ('because', 'mark', 'ADP', []), ('they', 'nsubj', 'PRON', []), ('contained', 'advcl', 'VERB', [because, they, nothing]), ('nothing', 'dobj', 'NOUN', [superstitious]), ('superstitious', 'amod', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('whereas', 'mark', 'ADP', []), ('magical', 'amod', 'ADJ', []), ('conjurations', 'nsubjpass', 'NOUN', [magical]), ('were', 'auxpass', 'VERB', []), ('said', 'advcl', 'VERB', [whereas, conjurations, were, based]), ('to', 'aux', 'PART', []), ('be', 'auxpass', 'VERB', []), ('based', 'xcomp', 'VERB', [to, be, on]), ('on', 'prep', 'ADP', [superstition]), ('false', 'amod', 'ADJ', []), ('superstition', 'pobj', 'NOUN', [false]), ('.', 'punct', 'PUNCT', [ ]), (' ', '', 'SPACE', [])]"
spirits,were ,delusions caused by mental disorders,delusions,were,"SPIRITS were delusions caused by mental disorders , and","[('spirits', 'nsubj', 'NOUN', []), ('were', 'ROOT', 'VERB', [spirits, delusions, ,, and]), ('delusions', 'attr', 'NOUN', [caused]), ('caused', 'acl', 'VERB', [by]), ('by', 'agent', 'ADP', [disorders]), ('mental', 'amod', 'ADJ', []), ('disorders', 'pobj', 'NOUN', [mental]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
encounters,were ,incubi,incubi,were,that sexual ENCOUNTERS with incubi were a “ natural disease .,"[('that', 'mark', 'ADP', []), ('sexual', 'amod', 'ADJ', []), ('encounters', 'nsubj', 'NOUN', [sexual, with]), ('with', 'prep', 'ADP', [incubi]), ('incubi', 'pobj', 'NOUN', []), ('were', 'ROOT', 'VERB', [that, encounters, disease, .]), ('a', 'det', 'DET', []), ('“', 'nmod', 'ADJ', []), ('natural', 'amod', 'ADJ', []), ('disease', 'attr', 'NOUN', [a, “, natural]), ('.', 'punct', 'PUNCT', [])]"
Spirits,were ,incapable of physical lust,incapable,were,spirits were incapable of physical lust .,"[('Spirits', 'nsubj', 'NOUN', []), ('were', 'ROOT', 'VERB', [Spirits, incapable, .]), ('incapable', 'acomp', 'ADJ', [of]), ('of', 'prep', 'ADP', [lust]), ('physical', 'amod', 'ADJ', []), ('lust', 'pobj', 'NOUN', [physical]), ('.', 'punct', 'PUNCT', [])]"
experiences,were ,incubi,incubi,were,"some EXPERIENCES of incubi were due to nightmares , or","[('Some', 'det', 'DET', []), ('experiences', 'nsubj', 'NOUN', [Some, of]), ('of', 'prep', 'ADP', [incubi]), ('incubi', 'pobj', 'NOUN', []), ('were', 'ROOT', 'VERB', [experiences, due]), ('due', 'acomp', 'ADJ', [to]), ('to', 'prep', 'ADP', [nightmares]), ('nightmares', 'pobj', 'NOUN', [,, or]), (',', 'punct', 'PUNCT', []), ('or', 'cc', 'CCONJ', [])]"
writing,was ,the witch persecutions,persecutions,was,scot was not alone in his condemnation of the witch persecutions ; his WRITING was part of a continuing skepticism about witchcraft that persisted in england .,"[('Scot', 'nsubj', 'PROPN', []), ('was', 'ccomp', 'VERB', [Scot, not, alone, in]), ('not', 'neg', 'ADV', []), ('alone', 'acomp', 'ADJ', []), ('in', 'prep', 'ADP', [condemnation]), ('his', 'poss', 'ADJ', []), ('condemnation', 'pobj', 'NOUN', [his, of]), ('of', 'prep', 'ADP', [persecutions]), ('the', 'det', 'DET', []), ('witch', 'compound', 'NOUN', []), ('persecutions', 'pobj', 'NOUN', [the, witch]), (';', 'punct', 'PUNCT', []), ('his', 'poss', 'ADJ', []), ('writing', 'nsubj', 'NOUN', [his]), ('was', 'ROOT', 'VERB', [was, ;, writing, part, .]), ('part', 'attr', 'NOUN', [of]), ('of', 'prep', 'ADP', [skepticism]), ('a', 'det', 'DET', []), ('continuing', 'amod', 'VERB', []), ('skepticism', 'pobj', 'NOUN', [a, continuing, about]), ('about', 'prep', 'ADP', [witchcraft]), ('witchcraft', 'pobj', 'NOUN', [persisted]), ('that', 'nsubj', 'ADJ', []), ('persisted', 'relcl', 'VERB', [that, in]), ('in', 'prep', 'ADP', [England]), ('England', 'pobj', 'PROPN', []), ('.', 'punct', 'PUNCT', [])]"
who,was ,England,England,was,king james vi of scotland ( WHO became james i of england ) was violently opposed to it and,"[('King', 'compound', 'PROPN', []), ('JAMES', 'compound', 'PROPN', []), ('VI', 'nsubj', 'PROPN', [King, JAMES, of, became]), ('of', 'prep', 'ADP', [Scotland]), ('Scotland', 'pobj', 'PROPN', []), ('(', 'punct', 'PUNCT', []), ('who', 'nsubj', 'NOUN', []), ('became', 'parataxis', 'VERB', [(, who, I, )]), ('James', 'compound', 'PROPN', []), ('I', 'attr', 'PROPN', [James, of]), ('of', 'prep', 'ADP', [England]), ('England', 'pobj', 'PROPN', []), (')', 'punct', 'PUNCT', []), ('was', 'ROOT', 'VERB', [VI, opposed, and]), ('violently', 'advmod', 'ADV', []), ('opposed', 'acomp', 'VERB', [violently, to]), ('to', 'prep', 'ADP', [it]), ('it', 'pobj', 'PRON', []), ('and', 'cc', 'CCONJ', [])]"
he,are ,different accounts of where he was buried,accounts,are,tHEre are different accounts of wHEre HE was buried .,"[('There', 'expl', 'ADV', []), ('are', 'ROOT', 'VERB', [There, accounts, .]), ('different', 'amod', 'ADJ', []), ('accounts', 'attr', 'NOUN', [different, of]), ('of', 'prep', 'ADP', [buried]), ('where', 'advmod', 'ADV', []), ('he', 'nsubjpass', 'PRON', []), ('was', 'auxpass', 'VERB', []), ('buried', 'pcomp', 'VERB', [where, he, was]), ('.', 'punct', 'PUNCT', [])]"
purpose,is ,the imagination of the magician in accordance with the purpose of a ritual,imagination,is,their primary PURPOSE is to stimulate the imagination of the magician in accordance with the PURPOSE of a ritual .,"[('Their', 'poss', 'ADJ', []), ('primary', 'amod', 'ADJ', []), ('purpose', 'nsubj', 'NOUN', [Their, primary]), ('is', 'ROOT', 'VERB', [purpose, stimulate, .]), ('to', 'aux', 'PART', []), ('stimulate', 'xcomp', 'VERB', [to, imagination]), ('the', 'det', 'DET', []), ('imagination', 'dobj', 'NOUN', [the, of, in]), ('of', 'prep', 'ADP', [magician]), ('the', 'det', 'DET', []), ('magician', 'pobj', 'NOUN', [the]), ('in', 'prep', 'ADP', [accordance]), ('accordance', 'pobj', 'NOUN', [with]), ('with', 'prep', 'ADP', [purpose]), ('the', 'det', 'DET', []), ('purpose', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [ritual]), ('a', 'det', 'DET', []), ('ritual', 'pobj', 'NOUN', [a]), ('.', 'punct', 'PUNCT', [])]"
use,is ,seals,seals,is,the correct USE of seals is one of the factors that determine the success of the ritual .,"[('The', 'det', 'DET', []), ('correct', 'amod', 'ADJ', []), ('use', 'nsubj', 'NOUN', [The, correct, of]), ('of', 'prep', 'ADP', [seals]), ('seals', 'pobj', 'NOUN', []), ('is', 'ROOT', 'VERB', [use, one, .]), ('one', 'attr', 'NUM', [of]), ('of', 'prep', 'ADP', [factors]), ('the', 'det', 'DET', []), ('factors', 'pobj', 'NOUN', [the, determine]), ('that', 'nsubj', 'ADJ', []), ('determine', 'relcl', 'VERB', [that, success]), ('the', 'det', 'DET', []), ('success', 'dobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [ritual]), ('the', 'det', 'DET', []), ('ritual', 'pobj', 'NOUN', [the]), ('.', 'punct', 'PUNCT', [])]"
Seals,are ,demons,demons,are,seals of demons are symbols .,"[('Seals', 'nsubj', 'PROPN', [of]), ('of', 'prep', 'ADP', [demons]), ('demons', 'pobj', 'NOUN', []), ('are', 'ROOT', 'VERB', [Seals, symbols, .]), ('symbols', 'attr', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
They,be ,"symbols , astrological signs , runes , and",symbols,be,"they also can be symbols , astrological signs , runes , and","[('They', 'nsubj', 'PRON', []), ('also', 'advmod', 'ADV', []), ('can', 'aux', 'VERB', []), ('be', 'ROOT', 'VERB', [They, also, can, symbols]), ('symbols', 'attr', 'NOUN', [,, signs]), (',', 'punct', 'PUNCT', []), ('astrological', 'amod', 'ADJ', []), ('signs', 'conj', 'NOUN', [astrological, ,, runes]), (',', 'punct', 'PUNCT', []), ('runes', 'conj', 'NOUN', [,, and]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Seere,is ,a prince under Amaymon,prince,is,"seere is a prince under amaymon , serpent   229   the king of the east .","[('Seere', 'nsubj', 'PROPN', []), ('is', 'ROOT', 'VERB', [Seere, prince, ,, 229, .]), ('a', 'det', 'DET', []), ('prince', 'attr', 'NOUN', [a, under]), ('under', 'prep', 'ADP', [Amaymon]), ('Amaymon', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('serpent', 'compound', 'NOUN', [ ]), (' ', '', 'SPACE', []), ('229', 'attr', 'NUM', [serpent,  , King]), (' ', '', 'SPACE', []), ('the', 'det', 'DET', []), ('King', 'appos', 'PROPN', [the, of]), ('of', 'prep', 'ADP', [East]), ('the', 'det', 'DET', []), ('East', 'pobj', 'PROPN', [the]), ('.', 'punct', 'PUNCT', [])]"
He,appears as,a beautiful man riding a strong winged horse,man,appears,he appears as a beautiful man riding a strong winged horse .,"[('He', 'nsubj', 'PRON', []), ('appears', 'ROOT', 'VERB', [He, as, .]), ('as', 'prep', 'ADP', [man]), ('a', 'det', 'DET', []), ('beautiful', 'amod', 'ADJ', []), ('man', 'pobj', 'NOUN', [a, beautiful, riding]), ('riding', 'acl', 'VERB', [horse]), ('a', 'det', 'DET', []), ('strong', 'amod', 'ADJ', []), ('winged', 'amod', 'ADJ', []), ('horse', 'dobj', 'NOUN', [a, strong, winged]), ('.', 'punct', 'PUNCT', [])]"
serpent,is ,some older Jewish legends,legends,is,"in some older jewish legends , the genesis SERPENT is a tall , extremely intelligent creature with human arms and","[('In', 'prep', 'ADP', [legends]), ('some', 'det', 'DET', []), ('older', 'amod', 'ADJ', []), ('Jewish', 'amod', 'ADJ', []), ('legends', 'pobj', 'NOUN', [some, older, Jewish]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('Genesis', 'compound', 'PROPN', []), ('serpent', 'nsubj', 'NOUN', [the, Genesis]), ('is', 'ROOT', 'VERB', [In, ,, serpent, creature]), ('a', 'det', 'DET', []), ('tall', 'amod', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('extremely', 'advmod', 'ADV', []), ('intelligent', 'amod', 'ADJ', [extremely]), ('creature', 'attr', 'NOUN', [a, tall, ,, intelligent, with]), ('with', 'prep', 'ADP', [arms]), ('human', 'amod', 'ADJ', []), ('arms', 'pobj', 'NOUN', [human, and]), ('and', 'cc', 'CCONJ', [])]"
he,is ,1 Enoch,Enoch,is,"in 1 enoch , HE is identiﬁed as tHE leader of tHE watcHErs and","[('In', 'prep', 'ADP', [Enoch]), ('1', 'nummod', 'NUM', []), ('Enoch', 'pobj', 'PROPN', [1]), (',', 'punct', 'PUNCT', []), ('he', 'nsubj', 'PRON', []), ('is', 'ROOT', 'VERB', [In, ,, he, identiﬁed, and]), ('identiﬁed', 'acomp', 'ADJ', [as]), ('as', 'prep', 'ADP', [leader]), ('the', 'det', 'DET', []), ('leader', 'pobj', 'NOUN', [the, of]), ('of', 'prep', 'ADP', [Watchers]), ('the', 'det', 'DET', []), ('Watchers', 'pobj', 'PROPN', [the]), ('and', 'cc', 'CCONJ', [])]"
serpent,is ,a favorite shape - shifted form of the Devil and,form,is,the SERPENT is a favorite shape - shifted form of the devil and,"[('The', 'det', 'DET', []), ('serpent', 'nsubj', 'NOUN', [The]), ('is', 'ROOT', 'VERB', [serpent, form]), ('a', 'det', 'DET', []), ('favorite', 'amod', 'ADJ', []), ('shape', 'npadvmod', 'NOUN', []), ('-', 'punct', 'PUNCT', []), ('shifted', 'amod', 'VERB', [shape, -]), ('form', 'attr', 'NOUN', [a, favorite, shifted, of]), ('of', 'prep', 'ADP', [Devil]), ('the', 'det', 'DET', []), ('Devil', 'pobj', 'PROPN', [the, and]), ('and', 'cc', 'CCONJ', [])]"
serpent,is ,"one of the oldest , most universal , and",one,is,"the SERPENT is one of the oldest , most universal , and","[('The', 'det', 'DET', []), ('serpent', 'nsubj', 'NOUN', [The]), ('is', 'ROOT', 'VERB', [serpent, one]), ('one', 'attr', 'NUM', [of, ,, and]), ('of', 'prep', 'ADP', [universal]), ('the', 'det', 'DET', []), ('oldest', 'amod', 'ADJ', []), (',', 'punct', 'PUNCT', []), ('most', 'advmod', 'ADV', []), ('universal', 'pobj', 'ADJ', [the, oldest, ,, most]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
Quetzacoatl,is ,the “ Plumed Serpent,Serpent,is,the aztecs’ quetzacoatl is the “ plumed serpent ” and,"[('The', 'det', 'DET', []), ('Aztecs’', 'compound', 'PROPN', []), ('Quetzacoatl', 'nsubj', 'PROPN', [The, Aztecs’]), ('is', 'ROOT', 'VERB', [Quetzacoatl, Serpent, ”, and]), ('the', 'det', 'DET', []), ('“', 'compound', 'ADJ', []), ('Plumed', 'compound', 'PROPN', []), ('Serpent', 'attr', 'PROPN', [the, “, Plumed]), ('”', 'punct', 'NOUN', []), ('and', 'cc', 'CCONJ', [])]"
Serpent,is ,Australian mythology,mythology,is,the “ rainbow serpent ” in australian mythology is a creator deity .,"[('The', 'det', 'DET', []), ('“', 'compound', 'PROPN', []), ('Rainbow', 'compound', 'PROPN', []), ('Serpent', 'nsubj', 'PROPN', [The, “, Rainbow, ”]), ('”', 'punct', 'NOUN', [in]), ('in', 'prep', 'ADP', [mythology]), ('Australian', 'amod', 'ADJ', []), ('mythology', 'pobj', 'NOUN', [Australian]), ('is', 'ROOT', 'VERB', [Serpent, deity, .]), ('a', 'det', 'DET', []), ('creator', 'compound', 'NOUN', []), ('deity', 'attr', 'NOUN', [a, creator]), ('.', 'punct', 'PUNCT', [])]"
magic,carries ,a caduceus wand entwined by two serpents,wand,carries,"MAGIC , carries a caduceus wand entwined by two serpents .","[('magic', 'nsubj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('carries', 'ROOT', 'VERB', [magic, ,, wand, .]), ('a', 'det', 'DET', []), ('caduceus', 'compound', 'NOUN', []), ('wand', 'dobj', 'NOUN', [a, caduceus, entwined]), ('entwined', 'acl', 'VERB', [by]), ('by', 'agent', 'ADP', [serpents]), ('two', 'nummod', 'NUM', []), ('serpents', 'pobj', 'NOUN', [two]), ('.', 'punct', 'PUNCT', [])]"
Nagas,are ,Vedic lore,lore,are,the nagas of vedic lore are human / serpent beings who possess a high level of wisdom .,"[('The', 'det', 'DET', []), ('Nagas', 'nsubj', 'PROPN', [The, of]), ('of', 'prep', 'ADP', [lore]), ('Vedic', 'amod', 'ADJ', []), ('lore', 'pobj', 'NOUN', [Vedic]), ('are', 'ROOT', 'VERB', [Nagas, beings, .]), ('human', 'amod', 'ADJ', []), ('/', 'punct', 'SYM', []), ('serpent', 'compound', 'NOUN', [human, /]), ('beings', 'attr', 'NOUN', [serpent, possess]), ('who', 'nsubj', 'NOUN', []), ('possess', 'relcl', 'VERB', [who, level]), ('a', 'det', 'DET', []), ('high', 'amod', 'ADJ', []), ('level', 'dobj', 'NOUN', [a, high, of]), ('of', 'prep', 'ADP', [wisdom]), ('wisdom', 'pobj', 'NOUN', []), ('.', 'punct', 'PUNCT', [])]"
appearance,is ,the biblical serpent,serpent,is,the APPEARANCE of the biblical serpent is controversial .,"[('The', 'det', 'DET', []), ('appearance', 'nsubj', 'NOUN', [The, of]), ('of', 'prep', 'ADP', [serpent]), ('the', 'det', 'DET', []), ('biblical', 'amod', 'ADJ', []), ('serpent', 'pobj', 'NOUN', [the, biblical]), ('is', 'ROOT', 'VERB', [appearance, controversial, .]), ('controversial', 'acomp', 'ADJ', []), ('.', 'punct', 'PUNCT', [])]"
serpent,is ,alchemy,alchemy,is,"in alchemy , the SERPENT is the serpens mercurii , the quicksilver that represents the constant driving forward of psychic life forces : living , dying , and","[('In', 'prep', 'ADP', [alchemy]), ('alchemy', 'pobj', 'PROPN', []), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('serpent', 'nsubj', 'NOUN', [the]), ('is', 'ROOT', 'VERB', [In, ,, serpent, Mercurii]), ('the', 'det', 'DET', []), ('serpens', 'compound', 'PROPN', []), ('Mercurii', 'attr', 'PROPN', [the, serpens, ,, quicksilver, :, living]), (',', 'punct', 'PUNCT', []), ('the', 'det', 'DET', []), ('quicksilver', 'appos', 'NOUN', [the, represents]), ('that', 'nsubj', 'ADJ', []), ('represents', 'relcl', 'VERB', [that, driving]), ('the', 'det', 'DET', []), ('constant', 'amod', 'ADJ', []), ('driving', 'dobj', 'NOUN', [the, constant, forward]), ('forward', 'advmod', 'ADV', [of]), ('of', 'prep', 'ADP', [forces]), ('psychic', 'amod', 'ADJ', []), ('life', 'compound', 'NOUN', []), ('forces', 'pobj', 'NOUN', [psychic, life]), (':', 'punct', 'PUNCT', []), ('living', 'acl', 'VERB', [,, dying]), (',', 'punct', 'PUNCT', []), ('dying', 'conj', 'VERB', [,, and]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
serpent,is ,"the prima materia , the unformed and",materia,is,"the SERPENT is the prima materia , the unformed and","[('The', 'det', 'DET', []), ('serpent', 'nsubj', 'NOUN', [The]), ('is', 'ROOT', 'VERB', [serpent, materia]), ('the', 'det', 'DET', []), ('prima', 'compound', 'X', []), ('materia', 'attr', 'NOUN', [the, prima, ,, unformed]), (',', 'punct', 'PUNCT', []), ('the', 'advmod', 'DET', []), ('unformed', 'amod', 'ADJ', [the, and]), ('and', 'cc', 'CCONJ', [])]"
This,is ,another way of expressing the activated kundalini or,way,is,this is another way of expressing the activated kundalini or,"[('This', 'nsubj', 'DET', []), ('is', 'ROOT', 'VERB', [This, way]), ('another', 'det', 'DET', []), ('way', 'attr', 'NOUN', [another, of]), ('of', 'prep', 'ADP', [expressing]), ('expressing', 'pcomp', 'VERB', [kundalini]), ('the', 'det', 'DET', []), ('activated', 'amod', 'VERB', []), ('kundalini', 'dobj', 'NOUN', [the, activated, or]), ('or', 'cc', 'CCONJ', [])]"
serpents,are ,mythology,mythology,are,"in mythology , SERPENTS are powerful , magical , and","[('In', 'prep', 'ADP', [mythology]), ('mythology', 'pobj', 'NOUN', []), (',', 'punct', 'PUNCT', []), ('serpents', 'nsubj', 'NOUN', []), ('are', 'ROOT', 'VERB', [In, ,, serpents, powerful]), ('powerful', 'acomp', 'ADJ', [,, magical]), (',', 'punct', 'PUNCT', []), ('magical', 'conj', 'ADJ', [,, and]), (',', 'punct', 'PUNCT', []), ('and', 'cc', 'CCONJ', [])]"
