subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron  ,"a   modern river in Acarnania ( Epirus ) , which occasion- ally   runs   underground", is ,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron   is   also   the   name   of   a   modern river in acarnania ( epirus ) , which occasion- ally   runs   underground .  ===near   its   mouth there   was   a   famous   oracle   of   the   dead ,   at ephyra , where mortals could obtain advice from   the   gods   of   the   underworld .  ","Acheron | nsubj | PROPN | [ ]
son | nsubj | NOUN | [The, of, by, ,, appeared]
of | prep | ADP | [Leda]
Leda | pobj | PROPN | []
by | prep | ADP | [Zeus]
Zeus | pobj | PROPN | []
, | punct | PUNCT | []
who | nsubj | NOUN | []
appeared | relcl | VERB | [who,  , to, in]
  |  | SPACE | []
to | prep | ADP | [ , her]
  |  | SPACE | []
her | pobj | PRON | [ ]
  |  | SPACE | []
in | prep | ADP | [ , form]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
form | pobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , swan]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
swan | pobj | NOUN | [a]
, | punct | PUNCT | []
Polydeuces | nsubj | NOUN | []
was | ROOT | VERB | [son, ,, Polydeuces, also, brother, ,, are, .]
also | advmod | ADV | []
the | det | DET | []
brother | attr | NOUN | [the, of]
of | prep | ADP | [Helen]
Helen | pobj | PROPN | [and, Clytemnestra]
and | cc | CCONJ | []
Clytemnestra | conj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
the | det | DET | []
relationships | nsubj | NOUN | [the, among]
among | prep | ADP | [children]
Leda | poss | PROPN | [’s]
’s | case | PART | [ ]
  |  | SPACE | []
four | nummod | NUM | [ ]
  |  | SPACE | []
children | pobj | NOUN | [Leda, four,  ]
  |  | SPACE | []
are | advcl | VERB | [though, relationships,  , confused]
  |  | SPACE | []
confused | acomp | ADJ | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",son,brother,was
Poseidon,"the father of two giant sons by Iphimedeia ,   Otus   and   Ephialtes ,   collectively known   as   the Aloeidae   after   their   stepfather , Aloeus", was ,"naturally , when the trojan war broke out poseidon sided with the greeks .  ===poseidon was the father of two giant sons by iphimedeia ,   otus   and   ephialtes ,   collectively known   as   the aloeidae   after   their   stepfather , aloeus .  ===when   aged   just   nine   these   boys   de- cided to attack olympus to outrage hera and artemis , first having captured and imprisoned ares .  ","Poseidon | nsubj | PROPN | []
was | ROOT | VERB | [Poseidon, father, .]
the | det | DET | []
father | attr | NOUN | [the, of, ,, Otus]
of | prep | ADP | [sons]
two | nummod | NUM | []
giant | amod | ADJ | []
sons | pobj | NOUN | [two, giant, by]
by | prep | ADP | [Iphimedeia]
Iphimedeia | pobj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
Otus | appos | PROPN | [ , and, Ephialtes]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
Ephialtes | conj | PROPN | [,, known]
, | punct | PUNCT | [ ]
  |  | SPACE | []
collectively | advmod | ADV | []
known | acl | VERB | [collectively,  , as, after]
  |  | SPACE | []
as | prep | ADP | [ , Aloeidae]
  |  | SPACE | []
the | det | DET | []
Aloeidae | pobj | PROPN | [the,  ]
  |  | SPACE | []
after | prep | ADP | [ , stepfather]
  |  | SPACE | []
their | poss | ADJ | [ ]
  |  | SPACE | []
stepfather | pobj | NOUN | [their, ,, Aloeus]
, | punct | PUNCT | []
Aloeus | appos | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Poseidon,father,was
Briareus,found- ed, were ,"he again disputed territory with athene , this time over troezen ,   and   zeus   judged   that   they   should share it equally .===when briareus awarded him the   corinthian   isthmus   during   another   dispute — this time with helios over corinth— the quadrennial isthmian games were found- ed in his honor , games that notably featured    260 poseidon   horse and chariot races .===when the river gods of argos awarded that region to hera in yet another   dispute   over   earthly   territory ,   posei- don   dried   up   the   rivers   in   anger ,   restoring them only after his liason with amymone , for whom he created the springs of argos with a single blow of his trident .  ","When | advmod | ADV | []
Briareus | nsubj | PROPN | []
awarded | advcl | VERB | [When, Briareus, him, isthmus, during, —, time, with, Games]
him | dative | PRON | []
the | det | DET | [ ]
  |  | SPACE | []
Corinthian | amod | PROPN | [ ]
  |  | SPACE | []
isthmus | dobj | NOUN | [the, Corinthian,  ]
  |  | SPACE | []
during | prep | ADP | [ , dispute]
  |  | SPACE | []
another | det | DET | [ ]
  |  | SPACE | []
dispute | pobj | NOUN | [another]
— | punct | PUNCT | []
this | det | DET | []
time | dobj | NOUN | [this]
with | prep | ADP | [Helios]
Helios | pobj | PROPN | [Corinth—]
over | nmod | ADP | []
Corinth— | advmod | PROPN | [over]
the | det | DET | []
quadrennial | amod | ADJ | []
Isthmian | compound | PROPN | []
Games | dobj | PROPN | [the, quadrennial, Isthmian]
were | ROOT | VERB | [awarded, ed, in, ,, games, .]
found- | compound | ADJ | []
ed | attr | NOUN | [found-]
in | prep | ADP | [honor]
his | poss | ADJ | []
honor | pobj | NOUN | [his]
, | punct | PUNCT | []
games | attr | NOUN | [featured]
that | nsubj | ADJ | []
notably | advmod | ADV | []
featured | relcl | VERB | [that, notably,   , races]
   |  | SPACE | []
260 | nummod | NUM | []
Poseidon | nmod | PROPN | [ ]
  |  | SPACE | []
horse | nmod | NOUN | [and, chariot]
and | cc | CCONJ | []
chariot | conj | NOUN | []
races | dobj | NOUN | [260, Poseidon, horse]
. | punct | PUNCT | []",Briareus,ed,were
"Another of his loves , Scylla",so hateful toward Amphitrite  , was ,"the   goddess   is   wandering   the earth in search of her lost daughter .  ===another of his loves , scylla , was so hateful toward amphitrite   that  ===the   latter   turned   her into a monster with six barking heads and 12 feet .","Another | nsubj | DET | [of, ,, Scylla]
of | prep | ADP | [loves]
his | poss | ADJ | []
loves | pobj | NOUN | [his]
, | punct | PUNCT | []
Scylla | appos | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [Another, ,, hateful, that]
so | advmod | ADV | []
hateful | acomp | ADJ | [so, toward]
toward | prep | ADP | [Amphitrite]
Amphitrite | pobj | PROPN | [ ]
  |  | SPACE | []
that | punct | ADJ | [ ]
  |  | SPACE | []",Another,hateful,was
Poseidon  ,"Amycus ,   king   of Bebrycos ,   who   challenged   all   strangers   to   a boxing   match   and   killed   them", was ,"perseus later used the severed   head   to   turn   cetus ,   the   sea   monster sent   by   poseidon   to   ravage   aethiopia   after cassiopeia ’s boast , to stone .  ===poseidon   was   also   the   father   of   the renowned   bully   named   amycus ,   king   of bebrycos ,   who   challenged   all   strangers   to   a boxing   match   and   killed   them .  ===when   the argonauts   arrived   on   bebrycos ,   polydeuces met the challenge and killed amycus .","Poseidon | nsubj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [Poseidon,  , father, .]
  |  | SPACE | []
also | advmod | ADV | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
father | appos | NOUN | [also, the,  , of, bully]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | []
renowned | amod | ADJ | [ ]
  |  | SPACE | []
bully | appos | NOUN | [the, renowned,  , named]
  |  | SPACE | []
named | acl | VERB | [ , Amycus]
  |  | SPACE | []
Amycus | oprd | PROPN | [,, king]
, | punct | PUNCT | [ ]
  |  | SPACE | []
king | appos | NOUN | [ , of]
  |  | SPACE | []
of | prep | ADP | [Bebrycos]
Bebrycos | pobj | PROPN | [,, challenged]
, | punct | PUNCT | [ ]
  |  | SPACE | []
who | nsubj | NOUN | [ ]
  |  | SPACE | []
challenged | relcl | VERB | [who,  , strangers, to, killed]
  |  | SPACE | []
all | det | DET | [ ]
  |  | SPACE | []
strangers | dobj | NOUN | [all,  ]
  |  | SPACE | []
to | prep | ADP | [ , match]
  |  | SPACE | []
a | det | DET | []
boxing | compound | NOUN | [ ]
  |  | SPACE | []
match | pobj | NOUN | [a, boxing,  , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
killed | advcl | VERB | [ , them]
  |  | SPACE | []
them | dobj | PRON | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",Poseidon,Amycus,was
Poseidon,the lover of Pelops, was ,"making good their escape they had to contend with the ven- geance   of   polyphemus ’s   father ,   poseidon , who   shipwrecked   them   on   more   than   one occasion .  ===poseidon was also the lover of pelops and gave him the divine chariot in which he won his   race   with   oenomaus ,   though   pelops ensured victory by bribing myrtilus , whom he later killed .  ===sacrifices   to   poseidon   were   usually   black and   white   bulls ,   though   horses   were   also offered to him .","Poseidon | nsubj | PROPN | []
was | ROOT | VERB | [Poseidon, also, lover, and, gave, .]
also | advmod | ADV | []
the | det | DET | []
lover | attr | NOUN | [the, of]
of | prep | ADP | [Pelops]
Pelops | pobj | PROPN | []
and | cc | CCONJ | []
gave | conj | VERB | [him, chariot, though, Pelops, victory]
him | dative | PRON | []
the | det | DET | []
divine | amod | ADJ | []
chariot | dobj | NOUN | [the, divine, won]
in | prep | ADP | [which]
which | pobj | ADJ | []
he | nsubj | PRON | []
won | relcl | VERB | [in, he, race, with]
his | poss | ADJ | [ ]
  |  | SPACE | []
race | dobj | NOUN | [his,  ]
  |  | SPACE | []
with | prep | ADP | [ , Oenomaus]
  |  | SPACE | []
Oenomaus | pobj | PROPN | [,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
though | advmod | ADP | [ ]
  |  | SPACE | []
Pelops | dative | PROPN | []
ensured | amod | VERB | []
victory | dobj | NOUN | [ensured, by]
by | prep | ADP | [bribing]
bribing | pcomp | VERB | [Myrtilus]
Myrtilus | dobj | PROPN | [,, killed]
, | punct | PUNCT | []
whom | dobj | NOUN | []
he | nsubj | PRON | []
later | advmod | ADV | []
killed | relcl | VERB | [whom, he, later]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Poseidon,lover,was
Sacrifices   to   Poseidon  ,usually   black and   white   bulls, were ,"poseidon was also the lover of pelops and gave him the divine chariot in which he won his   race   with   oenomaus ,   though   pelops ensured victory by bribing myrtilus , whom he later killed .  ===sacrifices   to   poseidon   were   usually   black and   white   bulls ,   though   horses   were   also offered to him .===his attributes were the trident , the horse , and the dolphin , and he was usu- ally  ","Sacrifices | nsubj | NOUN | [ , to, Poseidon]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
Poseidon | appos | PROPN | [ ]
  |  | SPACE | []
were | ROOT | VERB | [Sacrifices,  , bulls, ,, offered, .]
  |  | SPACE | []
usually | advmod | ADV | [ ]
  |  | SPACE | []
black | amod | ADJ | [usually, and]
and | cc | CCONJ | [ ]
  |  | SPACE | []
white | amod | ADJ | [ ]
  |  | SPACE | []
bulls | attr | NOUN | [black, white]
, | punct | PUNCT | [ ]
  |  | SPACE | []
though | mark | ADP | [ ]
  |  | SPACE | []
horses | nsubjpass | NOUN | [ ]
  |  | SPACE | []
were | auxpass | VERB | [ ]
  |  | SPACE | []
also | advmod | ADV | []
offered | advcl | VERB | [though, horses, were, also, to]
to | dative | ADP | [him]
him | pobj | PRON | []
. | punct | PUNCT | []",Sacrifices,bulls,were
"Living   beside   the   road between   Eleusis   and   Athens ,   Procrustes",hospitable,would appear ,"also : damastes   “ stretcher ” ; the surname given to the rob- ber   polypemon .  ===living   beside   the   road between   eleusis   and   athens ,   procrustes would appear hospitable , inviting travelers to spend   the   night .  ===he   would ,   however ,   adjust their   bodies   to   exactly   fit   his   bed ,   stretching them if they were too short or lopping off their limbs if they were too tall .","Living | nsubj | NOUN | [ , beside]
  |  | SPACE | []
beside | prep | ADP | [ , road]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
road | pobj | NOUN | [the, between]
between | prep | ADP | [ , Eleusis]
  |  | SPACE | []
Eleusis | pobj | PROPN | [ , and, Athens, ,, Procrustes]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
Athens | conj | PROPN | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
Procrustes | appos | PROPN | []
would | aux | VERB | []
appear | ROOT | VERB | [Living, would, hospitable, ,, inviting, .]
hospitable | oprd | ADJ | []
, | punct | PUNCT | []
inviting | advcl | VERB | [travelers, spend]
travelers | dobj | NOUN | []
to | aux | PART | []
spend | xcomp | VERB | [to,  , night]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
night | dobj | NOUN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Living,hospitable,appear
Pythia (he),bet- ter known as the Delphic Oracle, is ,"concepts   regarding   the   pythia — that   she either   chewed   laurel   leaves   or   inhaled   nox- ious vapors from a nearby chasm below the temple   in   order   to   induce   her   trance — have been shown to have no basis in fact .   ===pyth ~ ian , ~ius   greek   name applied to apollo at his dorian shrine at delphi , where he was also known as loxias , “ the   ambiguous , ”   near   the   spring   named castalia on mount parnassus ; the shrine is bet- ter known as the delphic oracle .  ===python greek  ","Pyth | npadvmod | PROPN | [~, ian]
~ | punct | PUNCT | []
ian | appos | PROPN | []
, | punct | PUNCT | []
~ius | det | VERB | [ ]
  |  | SPACE | []
Greek | amod | PROPN | [ ]
  |  | SPACE | []
Name | nsubj | NOUN | [~ius, Greek]
applied | ccomp | VERB | [Pyth, ,, Name, to, at, ”, near]
to | prep | ADP | [Apollo]
Apollo | pobj | PROPN | []
at | prep | ADP | [shrine]
his | poss | ADJ | []
Dorian | amod | PROPN | []
shrine | pobj | NOUN | [his, Dorian, at]
at | prep | ADP | [Delphi]
Delphi | pobj | PROPN | [,, known]
, | punct | PUNCT | []
where | advmod | ADV | []
he | nsubjpass | PRON | []
was | auxpass | VERB | []
also | advmod | ADV | []
known | relcl | VERB | [where, he, was, also, as]
as | prep | ADP | [Loxias]
Loxias | pobj | PROPN | [,, “, Ambiguous, ,]
, | punct | PUNCT | []
“ | appos | ADV | []
the | det | DET | [ ]
  |  | SPACE | []
Ambiguous | appos | ADJ | [the]
, | punct | PUNCT | []
” | punct | NOUN | [ ]
  |  | SPACE | []
near | prep | ADP | [ , spring]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
spring | npadvmod | NOUN | [the,  , named]
  |  | SPACE | []
named | acl | VERB | [Castalia, on]
Castalia | oprd | PROPN | []
on | prep | ADP | [Parnassus]
Mount | compound | PROPN | []
Parnassus | pobj | PROPN | [Mount]
; | punct | PUNCT | []
the | det | DET | []
shrine | nsubj | NOUN | [the]
is | ROOT | VERB | [applied, ;, shrine, ter, .]
bet- | compound | DET | []
ter | attr | NOUN | [bet-, known]
known | acl | VERB | [as]
as | prep | ADP | [Oracle]
the | det | DET | []
Delphic | compound | PROPN | []
Oracle | pobj | PROPN | [the, Delphic]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,ter,is
Rhod (she),Rhodes, was ,"see also : dolon ; trojan war   rhod ~ e , ~os  ===greek   said to be a daughter of poseidon , she married helios   and   was   the   eponym   of   the   island   of rhodes .  ===rhodope   greek  ","Greek | amod | PROPN | [ ]
  |  | SPACE | []
Said | advcl | PROPN | [Greek, be]
to | aux | PART | []
be | xcomp | VERB | [to, daughter]
a | det | DET | []
daughter | attr | NOUN | [a, of]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
, | punct | PUNCT | []
she | nsubj | PRON | []
married | ccomp | VERB | [Said, ,, she, Helios]
Helios | dobj | PROPN | [ , and]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
was | ROOT | VERB | [married,  , eponym, .]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
eponym | appos | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , island]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
island | appos | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [Rhodes]
Rhodes | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,Rhodes,was
Sabines (she),"the   bargain ,  ", carried ,"she sent a secret message to titus tatius saying that   she   would   let   them   into   the   citadel   by night in return for all the sabines wore on their left   arms .  ===this   proposal   being   agreed   upon ,   ruminalis fig tree 271   she   carried   out   her   half   of   the   bargain ,   but when the time came for payment the sabines hurled their shields at her , and she was killed , an   episode   that   demonstrated   the   sabines’ feeling that a traitor should never be trusted or rewarded .  ===the sabines now attacked romulus under the   leadership   of   their   champion ,   mettius curtius ,   but   he   was   overconfident ,   and   his horse foundered in the swamps on the site of what later became the forum .","This | det | DET | [ ]
  |  | SPACE | []
proposal | nsubj | NOUN | [This,  , being]
  |  | SPACE | []
being | acl | VERB | [ ]
  |  | SPACE | []
agreed | ccomp | VERB | [proposal,  , upon, ,, tree]
  |  | SPACE | []
upon | prep | ADP | []
, | punct | PUNCT | [ ]
  |  | SPACE | []
Ruminalis | compound | PROPN | []
fig | compound | NOUN | []
tree | appos | NOUN | [Ruminalis, fig, 271]
271 | npadvmod | NUM | [ ]
  |  | SPACE | []
she | nsubj | PRON | [ ]
  |  | SPACE | []
carried | ROOT | VERB | [agreed, she,  , out, half, but, hurled]
  |  | SPACE | []
out | prt | PART | [ ]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
half | appos | NOUN | [her,  , of]
  |  | SPACE | []
of | prep | ADP | [ , bargain]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
bargain | pobj | NOUN | [the, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
but | cc | CCONJ | []
when | advmod | ADV | []
the | det | DET | []
time | nsubj | NOUN | [the]
came | advcl | VERB | [when, time, for]
for | prep | ADP | [payment]
payment | pobj | NOUN | []
the | det | DET | []
Sabines | nsubj | PROPN | [the]
hurled | conj | VERB | [came, Sabines, shields, at, ,, and, killed, .]
their | poss | ADJ | []
shields | dobj | NOUN | [their]
at | prep | ADP | [her]
her | pobj | PRON | []
, | punct | PUNCT | []
and | cc | CCONJ | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
killed | conj | VERB | [she, was, ,, episode]
, | punct | PUNCT | []
an | det | DET | [ ]
  |  | SPACE | []
episode | appos | NOUN | [an,  , demonstrated]
  |  | SPACE | []
that | mark | ADJ | [ ]
  |  | SPACE | []
demonstrated | acl | VERB | [that,  , feeling]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Sabines’ | amod | PROPN | []
feeling | dobj | NOUN | [the, Sabines’, trusted]
that | mark | ADP | []
a | det | DET | []
traitor | nsubjpass | NOUN | [a]
should | aux | VERB | []
never | neg | ADV | []
be | auxpass | VERB | []
trusted | acl | VERB | [that, traitor, should, never, be, or, rewarded]
or | cc | CCONJ | []
rewarded | conj | VERB | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,bargain,carried
The temple of Hera  ,one   of   the   Seven   Wonders   of   the World, was ,"legend   said   that   zeus   and   hera spent their wedding night on the island , which became an important center , along with argos , for the worship of the goddess .===the temple of hera   was   one   of   the   seven   wonders   of   the world .  ===the   foundations   and   single   column that   survive   are   of   the   late   sixth   century   b.c.","The | det | DET | []
temple | nsubj | NOUN | [The, of]
of | prep | ADP | [Hera]
Hera | pobj | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [temple,  , one, .]
  |  | SPACE | []
one | attr | NUM | [ , of, Wonders]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
Seven | compound | NUM | [ ]
  |  | SPACE | []
Wonders | appos | PROPN | [the, Seven,  , of]
  |  | SPACE | []
of | prep | ADP | [ , World]
  |  | SPACE | []
the | det | DET | []
World | appos | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",temple,one,was
Scylla (she),the daughter of Phorcys and one of the various lovers of Poseidon, was ,there are two versions of how scylla came to be a monster .===in the first she was the daughter of phorcys and one of the various lovers of poseidon ; but she was so hateful toward amphitrite that the lat- ter   turned  ===her   into   the   monster .  ,"In | prep | ADP | [first]
the | det | DET | []
first | pobj | ADJ | [the]
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, daughter, ;, but, was]
the | det | DET | []
daughter | attr | NOUN | [the, of, and, one]
of | prep | ADP | [Phorcys]
Phorcys | pobj | PROPN | []
and | cc | CCONJ | []
one | conj | NUM | [of]
of | prep | ADP | [lovers]
the | det | DET | []
various | amod | ADJ | []
lovers | pobj | NOUN | [the, various, of]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
; | punct | PUNCT | []
but | cc | CCONJ | []
she | nsubj | PRON | []
was | conj | VERB | [she, hateful]
so | advmod | ADV | []
hateful | acomp | ADJ | [so, toward, turned]
toward | prep | ADP | [Amphitrite]
Amphitrite | pobj | PROPN | []
that | mark | ADP | []
the | det | DET | []
lat- | amod | NOUN | []
ter | nsubj | NOUN | [the, lat-,  ]
  |  | SPACE | []
turned | ccomp | VERB | [that, ter,  ]
  |  | SPACE | []",she,daughter,was
"An important site for the worship of Aphrodite ,   Hero  ",a   priestess  , was ,"settlement   on   the   european   shore   of   the hellespont   at   its   narrowest   point   opposite abydos .===an important site for the worship of aphrodite ,   hero   was   a   priestess   here .  ===every night   leander ,   her   lover ,   swam   the   channel from abydos ,   but   one   night   her   guide   lamp blew   out   in   a   storm ,   and   leander   drowned .","An | det | DET | []
important | amod | ADJ | []
site | nsubj | NOUN | [An, important, for]
for | prep | ADP | [worship]
the | det | DET | []
worship | pobj | NOUN | [the, of]
of | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | [,, Hero]
, | punct | PUNCT | [ ]
  |  | SPACE | []
Hero | appos | PROPN | [ ]
  |  | SPACE | []
was | ROOT | VERB | [site,  , priestess, here, .]
  |  | SPACE | []
a | det | DET | [ ]
  |  | SPACE | []
priestess | attr | NOUN | [a,  ]
  |  | SPACE | []
here | advmod | ADV | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",site,priestess,was
Silenus  ,prophetic powers, appears ,"often older ,   fatter ,   and   far   drunker   than   the   lusty satyrs , they are also , surprisingly , the purvey- ors   of   wisdom .  ===silenus   appears   to   have   had prophetic powers .  ===silenus greek  ","Silenus | nsubj | PROPN | [ ]
  |  | SPACE | []
appears | ROOT | VERB | [Silenus,  , to, had, .]
  |  | SPACE | []
to | prep | ADP | [ ]
  |  | SPACE | []
have | aux | VERB | [ ]
  |  | SPACE | []
had | advcl | VERB | [have, powers]
prophetic | amod | ADJ | []
powers | dobj | NOUN | [prophetic]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Silenus,powers,appears
"the   battle with the Titans , Silenus",the Southern Ass, rode ,"silenus was also revered , for he had   the   gift   of   prophecy   and   had   a   great knowledge   of   past   events .  ===during   the   battle with the titans , silenus rode the southern ass , asellus   australis ,   while   dionysos   rode   the northern ass , asellus borealis .===see also :","During | prep | ADP | [ ]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
battle | nsubj | NOUN | [the, with]
with | prep | ADP | [Titans]
the | det | DET | []
Titans | pobj | PROPN | [the, ,, Silenus]
, | punct | PUNCT | []
Silenus | appos | PROPN | []
rode | ROOT | VERB | [During, battle, Ass, ,, Australis, Dionysos, rode, .]
the | det | DET | []
Southern | compound | PROPN | []
Ass | dobj | PROPN | [the, Southern]
, | punct | PUNCT | []
Asellus | compound | PROPN | [ ]
  |  | SPACE | []
Australis | npadvmod | PROPN | [Asellus, ,]
, | punct | PUNCT | [ ]
  |  | SPACE | []
while | mark | ADP | [ ]
  |  | SPACE | []
Dionysos | advcl | PROPN | [while,  ]
  |  | SPACE | []
rode | advcl | VERB | [ , Ass]
  |  | SPACE | []
the | det | DET | []
Northern | compound | PROPN | []
Ass | dobj | PROPN | [the, Northern, ,, Borealis]
, | punct | PUNCT | []
Asellus | compound | PROPN | []
Borealis | appos | PROPN | [Asellus]
. | punct | PUNCT | []",battle,Ass,rode
Artemis,"another deity   worshipped   in   the   city ,   her   cult   being particularly   brutal ,   for   young   men   and   boys were scourged at her altar until they sprinkled it with their blood", was ,"the city was also an important center of the worship of athene ; not surprisingly , it was also a cult cen- ter of ares , god of war .===artemis was another deity   worshipped   in   the   city ,   her   cult   being particularly   brutal ,   for   young   men   and   boys were scourged at her altar until they sprinkled it with their blood .  ===see also : aeschylus ; euripides  ","Artemis | nsubj | PROPN | []
was | ROOT | VERB | [Artemis, deity, .]
another | det | DET | []
deity | attr | NOUN | [another,  , worshipped]
  |  | SPACE | []
worshipped | acl | VERB | [ , in, ,, cult, scourged]
  |  | SPACE | []
in | prep | ADP | [ , city]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
city | pobj | NOUN | [the]
, | punct | PUNCT | [ ]
  |  | SPACE | []
her | poss | PRON | [ ]
  |  | SPACE | []
cult | appos | NOUN | [her,  , being]
  |  | SPACE | []
being | appos | VERB | [brutal, ,, for, and]
particularly | advmod | ADV | [ ]
  |  | SPACE | []
brutal | acomp | ADJ | [particularly]
, | punct | PUNCT | [ ]
  |  | SPACE | []
for | prep | ADP | [ , men]
  |  | SPACE | []
young | amod | ADJ | [ ]
  |  | SPACE | []
men | pobj | NOUN | [young,  ]
  |  | SPACE | []
and | cc | CCONJ | [ ]
  |  | SPACE | []
boys | nsubjpass | NOUN | []
were | auxpass | VERB | []
scourged | conj | VERB | [boys, were, at, sprinkled]
at | prep | ADP | [altar]
her | poss | ADJ | []
altar | pobj | NOUN | [her]
until | mark | ADP | []
they | nsubj | PRON | []
sprinkled | advcl | VERB | [until, they, it, with]
it | dobj | PRON | []
with | prep | ADP | [blood]
their | poss | ADJ | []
blood | pobj | NOUN | [their]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Artemis,deity,was
only Medusa,mortal, was ,": andromeda ; perseus ; seven against thebes   stheno greek   one   of   the   three   daughters   of   phorcys   and ceto ,   her   sisters   being   euryale   and   medusa .===of the three , only medusa was mortal .===she and her sisters were better known as the hideous gorgons with serpents for hair and a look that could   turn   the   beholder   to   stone .  ","Of | prep | ADP | [three]
the | det | DET | []
three | pobj | NUM | [the]
, | punct | PUNCT | []
only | advmod | ADV | []
Medusa | nsubj | PROPN | [only]
was | ROOT | VERB | [Of, ,, Medusa, mortal, .]
mortal | acomp | ADJ | []
. | punct | PUNCT | []",Medusa,mortal,was
Heracles,set   the   task   of   ridding   the   area   of   these dangerous   animals   as   the   sixth   labor   estab- lished by Eurystheus, was ,"they inhabited   the   marshy   lake   of   stymphalia   in arcadia and used their razor - sharp feathers as arrows , which they fired at attackers .===heracles was   set   the   task   of   ridding   the   area   of   these dangerous   animals   as   the   sixth   labor   estab- lished by eurystheus .===with the aid of athene , heracles   frightened   the   birds   into   the   air , where he either shot them down with his poi- soned arrows or simply drove them off .","Heracles | nsubj | PROPN | []
was | ROOT | VERB | [Heracles,  , set, .]
  |  | SPACE | []
set | acomp | VERB | [ , task]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
task | appos | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [ , ridding]
  |  | SPACE | []
ridding | pcomp | VERB | [ , area, as]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
area | appos | NOUN | [the,  , of, animals]
  |  | SPACE | []
of | prep | ADP | [ ]
  |  | SPACE | []
these | det | DET | []
dangerous | amod | ADJ | [ ]
  |  | SPACE | []
animals | appos | NOUN | [these, dangerous,  ]
  |  | SPACE | []
as | prep | ADP | [ , estab-]
  |  | SPACE | []
the | det | DET | [ ]
  |  | SPACE | []
sixth | amod | ADJ | [ ]
  |  | SPACE | []
labor | compound | NOUN | [ ]
  |  | SPACE | []
estab- | pobj | ADJ | [the, sixth, labor, lished]
lished | acl | VERB | [by]
by | agent | ADP | [Eurystheus]
Eurystheus | pobj | PROPN | []
. | punct | PUNCT | []",Heracles,set,was
