Subject,Predicate W/ Prepositions,Object Subtree,Sentence in Context,Object,Predicate,Parse Tree
Apollyon,is ,the Greek name,”===APOLLYON is the greek name .  ===in magic abaddon is often equated with satan and samael .,name,is,"Apollyon | nsubj | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
Greek | amod | ADJ | []
god | appos | NOUN | [the, Greek, of]
of | prep | ADP | [healing]
healing | pobj | NOUN | []
, | punct | PUNCT | []
appears | ROOT | VERB | [Asclepius, ,, in, ,, and, kept]
in | prep | ADP | [form]
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [serpent]
a | det | DET | []
serpent | pobj | NOUN | [a]
, | punct | PUNCT | []
and | cc | CCONJ | []
domesticated | amod | ADJ | []
serpents | nsubjpass | NOUN | [domesticated]
were | auxpass | VERB | []
kept | conj | VERB | [serpents, were, at, .]
at | prep | ADP | [temples]
the | det | DET | []
sacred | amod | ADJ | []
healing | compound | NOUN | []
temples | pobj | NOUN | [the, sacred, healing, of]
of | prep | ADP | [world]
the | det | DET | []
classical | amod | ADJ | []
world | pobj | NOUN | [the, classical]
. | punct | PUNCT | []"
it,was ,these temples,"asclepius , the greek god of healing , appears in the form of a serpent , and domesticated serpents were kept at the sacred healing temples of the classical world .===dream experiences were an integral part of the healing therapies at these temples ; IT was especially good to dream of serpents , because IT portended healing .===the healing power of serpents is cited in numbers 21:8 , in which moses is instructed to set a ﬁery serpent upon a pole , so that all who look upon it shall live .  ",temples,was,"Dream | compound | NOUN | []
experiences | nsubj | NOUN | [Dream]
were | ccomp | VERB | [experiences, part]
an | det | DET | []
integral | amod | ADJ | []
part | attr | NOUN | [an, integral, of, at]
of | prep | ADP | [therapies]
the | det | DET | []
healing | compound | VERB | []
therapies | pobj | NOUN | [the, healing]
at | prep | ADP | [temples]
these | det | DET | []
temples | pobj | NOUN | [these]
; | punct | PUNCT | []
it | nsubj | PRON | []
was | ROOT | VERB | [were, ;, it, good, ,, portended, .]
especially | advmod | ADV | []
good | acomp | ADJ | [especially, to]
to | prep | PART | [dream]
dream | pobj | VERB | [of]
of | prep | ADP | [serpents]
serpents | pobj | NOUN | []
, | punct | PUNCT | []
because | mark | ADP | []
it | nsubj | PRON | []
portended | advcl | VERB | [because, it, healing]
healing | dobj | NOUN | []
. | punct | PUNCT | []"
caduceus,is ,a symbol of enlightenment and of healing,"231   who escorts the souls of the dead and delivers messages to the gods .===the CADUCEUS is a symbol of enlightenment and of healing .  ===seven deadly sins in christianity , seven moral transgressions of divine law that damn a soul to hell .",symbol,is,"The | det | DET | []
caduceus | nsubj | NOUN | [The]
is | ROOT | VERB | [caduceus, symbol, .]
a | det | DET | []
symbol | attr | NOUN | [a, of]
of | prep | ADP | [enlightenment, and, of]
enlightenment | pobj | NOUN | []
and | cc | CCONJ | []
of | conj | ADP | [healing]
healing | pobj | NOUN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Five,are ,spiritual in nature,"the most common grouping of the seven deadly sins lists a speciﬁc order .===FIVE are spiritual in nature and two are carnal .===each of the seven spawns more sins , and each has an opposing virtue and a symbolic animal .  ",spiritual,are,"Five | nsubj | NUM | []
are | ROOT | VERB | [Five, spiritual, and, are]
spiritual | acomp | ADJ | [in]
in | prep | ADP | [nature]
nature | pobj | NOUN | []
and | cc | CCONJ | []
two | nsubj | NUM | []
are | conj | VERB | [two, carnal, .]
carnal | acomp | ADJ | []
. | punct | PUNCT | []"
sins,are ,1,"each of the seven spawns more sins , and each has an opposing virtue and a symbolic animal .  ===the seven SINS and their demons are as follows :   1 .===pride",1,are,"The | det | DET | []
seven | nummod | NUM | []
sins | nsubj | NOUN | [The, seven, and, demons]
and | cc | CCONJ | []
their | poss | ADJ | []
demons | conj | NOUN | [their]
are | ROOT | VERB | [sins, follows, .]
as | mark | ADP | []
follows | advcl | VERB | [as, :, 1]
: | punct | PUNCT | [ ]
  |  | SPACE | []
1 | dobj | NUM | []
. | punct | PUNCT | []"
Humility,is ,the opposing virtue,pride is symbolized by the lion .===HUMILITY is the opposing virtue .===pride can be countered by taking credit for nothing but placing the credit for everything with god .  ,virtue,is,"Humility | nsubj | PROPN | []
is | ROOT | VERB | [Humility, virtue, .]
the | det | DET | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [the, opposing]
. | punct | PUNCT | []"
Avarice,is about,greed and obsession,"avarice —===mammon : AVARICE is about greed and obsession , for a greedy person never has enough of anything .===greed leads to cheating , fraud , thievery , murder , and miserliness .",greed,is,"Mammon | npadvmod | PROPN | []
: | punct | PUNCT | []
Avarice | nsubj | NOUN | []
is | ROOT | VERB | [Mammon, :, Avarice, about, ,, has, .]
about | prep | ADP | [greed]
greed | pobj | NOUN | [and, obsession]
and | cc | CCONJ | []
obsession | conj | NOUN | []
, | punct | PUNCT | []
for | prep | ADP | [person]
a | det | DET | []
greedy | amod | ADJ | []
person | pobj | NOUN | [a, greedy]
never | neg | ADV | []
has | advcl | VERB | [for, never, enough]
enough | dobj | ADJ | [of]
of | prep | ADP | [anything]
anything | pobj | NOUN | []
. | punct | PUNCT | []"
Sufﬁciency,is ,the opposing virtue,avarice is symbolized by the wolf .===SUFFICIENCY is the opposing virtue .  ===representation of the demons of the seven deadly sins   ( author ’s collection )   4 .,virtue,is,"Sufﬁciency | nsubj | NOUN | []
is | ROOT | VERB | [Sufﬁciency, virtue, .]
the | det | DET | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [the, opposing]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
One,is ,the Ten Commandments,"leviathan :===ONE of the ten commandments is “===thou shalt not covet , ” characterizing envy as a “ sin of the devil .",Commandments,is,"One | nsubj | NUM | [of]
of | prep | ADP | [Commandments]
the | det | DET | []
Ten | nummod | PROPN | []
Commandments | pobj | PROPN | [the, Ten]
is | ROOT | VERB | [One, “]
“ | attr | PUNCT | []"
It,is ,possible,"st. paul called covetousness the root of all evils , because those who desire above all else to be rich fall into temptation and the devil ’s traps .===IT is possible to commIT the sin of envy even when one has no money or possessions but still has the desire for them .===leviathan is the monster serpent creature from the depths that swallows its victims whole .",possible,is,"It | nsubj | PRON | []
is | ROOT | VERB | [It, possible, commit, .]
possible | acomp | ADJ | []
to | aux | PART | []
commit | xcomp | VERB | [to, sin, has]
the | det | DET | []
sin | dobj | NOUN | [the, of]
of | prep | ADP | [envy]
envy | pobj | NOUN | []
even | advmod | ADV | []
when | advmod | ADV | []
one | nsubj | PRON | []
has | advcl | VERB | [even, when, one, money, but, has]
no | det | DET | []
money | dobj | NOUN | [no, or, possessions]
or | cc | CCONJ | []
possessions | conj | NOUN | []
but | cc | CCONJ | []
still | advmod | ADV | []
has | conj | VERB | [still, desire]
the | det | DET | []
desire | dobj | NOUN | [the, for]
for | prep | ADP | [them]
them | pobj | PRON | []
. | punct | PUNCT | []"
LEVIATHAN,is ,the monster SERPENT creature from the depths that swallows its victims whole,it is possible to commit the sin of envy even when one has no money or possessions but still has the desire for them .===LEVIATHAN is the monster serpent creature from the depths that swallows its victims whole .===envy is symbolized by the dog .,creature,is,"LEVIATHAN | nsubj | NOUN | []
is | ROOT | VERB | [LEVIATHAN, creature, .]
the | det | DET | []
monster | compound | NOUN | []
SERPENT | compound | PROPN | [monster]
creature | attr | NOUN | [the, SERPENT, from]
from | prep | ADP | [depths]
the | det | DET | []
depths | pobj | NOUN | [the, swallows]
that | nsubj | ADJ | []
swallows | relcl | VERB | [that, victims, whole]
its | poss | ADJ | []
victims | dobj | NOUN | [its]
whole | oprd | ADJ | []
. | punct | PUNCT | []"
Charity,is ,its opposing virtue,envy is symbolized by the dog .===CHARITY is its opposing virtue .  ===5 .,virtue,is,"Charity | nsubj | NOUN | []
is | ROOT | VERB | [Charity, virtue, .]
its | poss | ADJ | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [its, opposing]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
BEELZEBUB,is ,the Flies,"beelzebub : this deadly sin concerns eating and drinking that never satisfy but go on to excess .===BEELZEBUB ( lord of the flies ) is the prince of demons and is often equated with satan .===in hell , the gluttonous are forced to eat toads and drink putrid water .",Flies,is,"BEELZEBUB | nsubj | PROPN | [(, Lord, )]
( | punct | PUNCT | []
Lord | appos | PROPN | [of]
of | prep | ADP | [Flies]
the | det | DET | []
Flies | pobj | PROPN | [the]
) | punct | PUNCT | []
is | ROOT | VERB | [BEELZEBUB, Prince, and, equated, .]
the | det | DET | []
Prince | attr | PROPN | [the, of]
of | prep | ADP | [Demons]
Demons | pobj | PROPN | []
and | cc | CCONJ | []
is | auxpass | VERB | []
often | advmod | ADV | []
equated | conj | VERB | [is, often, with]
with | prep | ADP | [Satan]
Satan | pobj | PROPN | []
. | punct | PUNCT | []"
Sobriety,is ,the opposing virtue,the remedy is fasting and prayer .===SOBRIETY is the opposing virtue .  ===3 .,virtue,is,"Sobriety | nsubj | NOUN | []
is | ROOT | VERB | [Sobriety, virtue, .]
the | det | DET | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [the, opposing]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Lust,is ,the ﬁrst carnal deadly sin,"—===asmodeus : LUST is the ﬁrst carnal deadly sin and leads to inﬁdelity , deceit , betrayal , and uncleanliness .===asmodeus is a major demon who ﬁgures in many possession cases and in the story of tobit .",sin,is,"Asmodeus | dep | PROPN | []
: | punct | PUNCT | []
Lust | nsubj | NOUN | []
is | ROOT | VERB | [Asmodeus, :, Lust, sin, and, leads, .]
the | det | DET | []
ﬁrst | amod | ADJ | []
carnal | amod | ADJ | []
deadly | amod | ADJ | []
sin | attr | NOUN | [the, ﬁrst, carnal, deadly]
and | cc | CCONJ | []
leads | conj | VERB | [to]
to | prep | ADP | [inﬁdelity]
inﬁdelity | pobj | NOUN | [,, deceit]
, | punct | PUNCT | []
deceit | conj | NOUN | [,, betrayal]
, | punct | PUNCT | []
betrayal | conj | NOUN | [,, and, uncleanliness]
, | punct | PUNCT | []
and | cc | CCONJ | []
uncleanliness | conj | NOUN | []
. | punct | PUNCT | []"
ASMODEUS,is ,a major demon who ﬁgures in many POSSESSION cases and in the story of Tobit,"asmodeus : lust is the ﬁrst carnal deadly sin and leads to inﬁdelity , deceit , betrayal , and uncleanliness .===ASMODEUS is a major demon who ﬁgures in many possession cases and in the story of tobit .===lust is symbolized by either the goat or the ass .",demon,is,"ASMODEUS | nsubj | PROPN | []
is | ROOT | VERB | [ASMODEUS, demon, .]
a | det | DET | []
major | amod | ADJ | []
demon | attr | NOUN | [a, major, ﬁgures]
who | nsubj | NOUN | []
ﬁgures | relcl | VERB | [who, in, and, in]
in | prep | ADP | [cases]
many | amod | ADJ | []
POSSESSION | compound | NOUN | []
cases | pobj | NOUN | [many, POSSESSION]
and | cc | CCONJ | []
in | conj | ADP | [story]
the | det | DET | []
story | pobj | NOUN | [the, of]
of | prep | ADP | [Tobit]
Tobit | pobj | PROPN | []
. | punct | PUNCT | []"
Chastity,is ,the opposing virtue,lust is symbolized by either the goat or the ass .===CHASTITY is the opposing virtue .  ===6 .,virtue,is,"Chastity | nsubj | NOUN | []
is | ROOT | VERB | [Chastity, virtue, .]
the | det | DET | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [the, opposing]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
It,is ,easy to spark,"’s baser actions .===IT is easy to spark , and 232   seven in lancashire possessions   satan quickly fans ITs ﬂames .===uncontrolled anger lays waste to all landscapes , physical , emotional , and spiritual .",easy,is,"It | nsubj | PRON | []
is | ROOT | VERB | [It, easy, ,, and, fans]
easy | acomp | ADJ | [spark]
to | aux | PART | []
spark | xcomp | VERB | [to]
, | punct | PUNCT | []
and | cc | CCONJ | []
232 | meta | NUM | [ ]
  |  | SPACE | []
Seven | nmod | NUM | [in]
in | prep | ADP | [Possessions]
Lancashire | compound | PROPN | []
Possessions | pobj | PROPN | [Lancashire,  ]
  |  | SPACE | []
Satan | nsubj | PROPN | [Seven]
quickly | advmod | ADV | []
fans | conj | VERB | [232, Satan, quickly, ﬂames, .]
its | poss | ADJ | []
ﬂames | dobj | NOUN | [its]
. | punct | PUNCT | []"
Patience,is ,the opposing virtue,cassian said that anger clouds discretion and right judgment and must be rooted out from the “ inmost corners of the soul .===” PATIENCE is the opposing virtue .===7 .,virtue,is,"” | compound | PUNCT | []
Patience | nsubj | NOUN | [”]
is | ROOT | VERB | [Patience, virtue, .]
the | det | DET | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [the, opposing]
. | punct | PUNCT | []"
sin,is ,"sloth , which spawns laziness , carelessness , apathy , and negligence","belphegor :===the second carnal SIN is sloth , which spawns laziness , carelessness , apathy , and negligence .===aquinas said that sloth breeds ignorance , which in turn creates a host of other sins .",sloth,is,"The | det | DET | []
second | amod | ADJ | []
carnal | amod | ADJ | []
sin | nsubj | NOUN | [The, second, carnal]
is | ROOT | VERB | [sin, sloth, .]
sloth | attr | NOUN | [,, spawns]
, | punct | PUNCT | []
which | nsubj | ADJ | []
spawns | relcl | VERB | [which, laziness]
laziness | dobj | NOUN | [,, carelessness]
, | punct | PUNCT | []
carelessness | conj | NOUN | [,, apathy]
, | punct | PUNCT | []
apathy | conj | NOUN | [,, and, negligence]
, | punct | PUNCT | []
and | cc | CCONJ | []
negligence | conj | NOUN | []
. | punct | PUNCT | []"
Diligence,is ,the opposing virtue,sloth is symbolized by a donkey .===DILIGENCE is the opposing virtue .  ===starkie ranted for hours on sin and the wrath of god .,virtue,is,"Diligence | nsubj | NOUN | []
is | ROOT | VERB | [Diligence, virtue, .]
the | det | DET | []
opposing | amod | ADJ | []
virtue | attr | NOUN | [the, opposing]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
he,was ,subject,"hartley successful calmed the demoniacs for about 18 months , using charms and herbs .===oddly , HE was subject to ﬁts himself .  ===by autumn 1596 , starkie , perhaps wishing for more dramatic results , consulted dee , who was famous for his contact with spirits and who had had an experience with a possessed woman in his employ .",subject,was,"Oddly | advmod | ADV | []
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Oddly, ,, he, subject, ﬁts, .]
subject | acomp | ADJ | []
to | aux | ADP | []
ﬁts | advcl | PRON | [to, himself]
himself | dobj | PRON | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Hartley,was ,skilled in herbal remedies and charms,"starkie then turned to a cunning man , edmund hartley , and hired him at the annual salary of two pounds .===HARTLEY was skilled in herbal remedies and charms .===shortly after the arrival of hartley in the household , three other children who were being raised by starkie became possessed .",skilled,was,"Hartley | nsubj | PROPN | []
was | ROOT | VERB | [Hartley, skilled, .]
skilled | acomp | ADJ | [in]
in | prep | ADP | [remedies]
herbal | amod | ADJ | []
remedies | pobj | NOUN | [herbal, and, charms]
and | cc | CCONJ | []
charms | conj | NOUN | []
. | punct | PUNCT | []"
spirits,was against,the law,"however , the court had no grounds for execution .===conjuring SPIRITS was against the law and punishable by death , but there was no evidence that hartley had done so .  ===then starkie “ remembered ” an incident .",law,was,"Conjuring | amod | VERB | []
spirits | nsubj | NOUN | [Conjuring]
was | ROOT | VERB | [spirits, against, ,, but, was]
against | prep | ADP | [law, and, punishable]
the | det | DET | []
law | pobj | NOUN | [the]
and | cc | CCONJ | []
punishable | conj | ADJ | [by]
by | prep | ADP | [death]
death | pobj | NOUN | []
, | punct | PUNCT | []
but | cc | CCONJ | []
there | expl | ADV | []
was | conj | VERB | [there, evidence, .]
no | det | DET | []
evidence | attr | NOUN | [no, done]
that | dobj | ADP | []
Hartley | nsubj | PROPN | []
had | aux | VERB | []
done | acl | VERB | [that, Hartley, had, so]
so | advmod | ADV | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
All,were ,never to be troubled so again,"then , all were dispossessed .===ALL but one were never to be troubled so again .===the maid , jane ashton , continued to suffer ﬁts and went to live with a catholic uncle , who sent her to priests to be exorcised .  ",troubled,were,"All | nsubj | DET | [but, one]
but | cc | CCONJ | []
one | conj | PRON | []
were | ROOT | VERB | [All, troubled, .]
never | neg | ADV | []
to | aux | PART | []
be | auxpass | VERB | []
troubled | acomp | VERB | [never, to, be, again]
so | advmod | ADV | []
again | advmod | ADV | [so]
. | punct | PUNCT | []"
Shamsiel,is according,a fallen angel,"simon magus   233  ===as a fallen angel , SHAMSIEL is one of the watchers , according to the book of jubilees .===in 1 enoch he is a fallen angel who teaches the signs of the sun .  ",angel,is,"As | prep | ADP | [angel]
a | det | DET | []
fallen | amod | VERB | []
angel | pobj | NOUN | [a, fallen]
, | punct | PUNCT | []
Shamsiel | nsubj | PROPN | []
is | ROOT | VERB | [As, ,, Shamsiel, one, ,, according, .]
one | attr | NUM | [of]
of | prep | ADP | [WATCHERS]
the | det | DET | []
WATCHERS | pobj | PROPN | [the]
, | punct | PUNCT | []
according | prep | VERB | [to]
to | prep | ADP | [book]
the | det | DET | []
book | pobj | NOUN | [the, of]
of | prep | ADP | [Jubilees]
Jubilees | pobj | PROPN | []
. | punct | PUNCT | []"
he,is ,1 Enoch,"as a fallen angel , shamsiel is one of the watchers , according to the book of jubilees .===in 1 enoch HE is a fallen angel who teacHEs tHE signs of tHE sun .  ===go to the grave to weep .",Enoch,is,"In | prep | ADP | [Enoch]
1 | nummod | NUM | []
Enoch | pobj | PROPN | [1]
he | nsubj | PRON | []
is | ROOT | VERB | [In, he, angel, .]
a | det | DET | []
fallen | amod | VERB | []
angel | attr | NOUN | [a, fallen, teaches]
who | nsubj | NOUN | []
teaches | relcl | VERB | [who, signs]
the | det | DET | []
signs | dobj | NOUN | [the, of]
of | prep | ADP | [Sun]
the | det | DET | []
Sun | pobj | PROPN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Shamsiel,is ,a good angel,"tradition called for a man ’s legitimate offspring to stay away from the graveside at burial in order to avoid dangers from the shedim .  ===as a good angel , SHAMSIEL is a prince of paradise , guardian of eden , and ruler of the fourth heaven .===according to the zohar , he is chief of 365 legions of angels and is one of two aids to the archangel uriel in battle .",angel,is,"As | prep | ADP | [angel]
a | det | DET | []
good | amod | ADJ | []
angel | pobj | NOUN | [a, good]
, | punct | PUNCT | []
Shamsiel | nsubj | PROPN | []
is | ROOT | VERB | [As, ,, Shamsiel, prince, .]
a | det | DET | []
prince | attr | NOUN | [a, of]
of | prep | ADP | [paradise]
paradise | pobj | PROPN | [,, guardian]
, | punct | PUNCT | []
guardian | appos | NOUN | [of, ,, and, ruler]
of | prep | ADP | [Eden]
Eden | pobj | PROPN | []
, | punct | PUNCT | []
and | cc | CCONJ | []
ruler | conj | NOUN | [of]
of | prep | ADP | [heaven]
the | det | DET | []
fourth | amod | ADJ | []
heaven | pobj | PROPN | [the, fourth]
. | punct | PUNCT | []"
he,is ,the Zohar,"as a good angel , shamsiel is a prince of paradise , guardian of eden , and ruler of the fourth heaven .===according to tHE zohar , HE is chief of 365 legions of angels and is one of two aids to tHE archangel uriel in battle .===he crowns prayers and takes them to the ﬁ fth heaven .",Zohar,is,"According | prep | VERB | [to]
to | prep | ADP | [Zohar]
the | det | DET | []
Zohar | pobj | PROPN | [the]
, | punct | PUNCT | []
he | nsubj | PRON | []
is | ROOT | VERB | [According, ,, he, chief, and, is, .]
chief | attr | ADJ | [of]
of | prep | ADP | [LEGIONs]
365 | nummod | NUM | []
LEGIONs | pobj | NOUN | [365, of]
of | prep | ADP | [angels]
angels | pobj | NOUN | []
and | cc | CCONJ | []
is | conj | VERB | [one]
one | attr | NUM | [of]
of | prep | ADP | [aids]
two | nummod | NUM | []
aids | pobj | NOUN | [two, to, in]
to | prep | ADP | [archangel]
the | det | DET | []
archangel | pobj | NOUN | [the, Uriel]
Uriel | appos | PROPN | []
in | prep | ADP | [battle]
battle | pobj | NOUN | []
. | punct | PUNCT | []"
Shax,is ,a marquis who has the form   of a stork and speaks with a hoarse voice,"shax ( chax , scox ) fallen angel and 44th of the 72 spirits of solomon .===SHAX is a marquis who has the form   of a stork and speaks with a hoarse voice .===he destroys the eyesight , hearing , and understanding of any person upon command .",marquis,is,"Shax | nsubj | PROPN | []
is | ROOT | VERB | [Shax, marquis, .]
a | det | DET | []
marquis | attr | NOUN | [a, has]
who | nsubj | NOUN | []
has | relcl | VERB | [who, form, and, speaks]
the | det | DET | []
form | dobj | NOUN | [the,  , of]
  |  | SPACE | []
of | prep | ADP | [stork]
a | det | DET | []
stork | pobj | NOUN | [a]
and | cc | CCONJ | []
speaks | conj | VERB | [with]
with | prep | ADP | [voice]
a | det | DET | []
hoarse | amod | ADJ | []
voice | pobj | NOUN | [a, hoarse]
. | punct | PUNCT | []"
he,be ,anything,"he steals money from kings and then returns it in 1,200 years .===after HE is commanded into tHE magician ’s triangle , shax will transport anything ; otHErwise , HE will be deceptive .===upon command , he will steal horses .",anything,be,"After | mark | ADP | []
he | nsubjpass | PRON | []
is | auxpass | VERB | []
commanded | advcl | VERB | [After, he, is, into]
into | prep | ADP | [triangle]
the | det | DET | []
magician | poss | NOUN | [the, ’s]
’s | case | PART | []
triangle | pobj | NOUN | [magician]
, | punct | PUNCT | []
Shax | nsubj | PROPN | []
will | aux | VERB | []
transport | ccomp | VERB | [commanded, ,, Shax, will, anything]
anything | dobj | NOUN | []
; | punct | PUNCT | []
otherwise | advmod | ADV | []
, | punct | PUNCT | []
he | nsubj | PRON | []
will | aux | VERB | []
be | ROOT | VERB | [transport, ;, otherwise, ,, he, will, deceptive, .]
deceptive | acomp | ADJ | []
. | punct | PUNCT | []"
they,are ,Hebrew and Arabic mythology,"in islamic lore , a type of djinn , thoroughly evil , created by allah from smokeless ﬁre .===in hebrew and arabic mythology , THEY are evil spirits who have cock ’s feet .  ===the al - shaytan ( plural ) work under the direction of iblis and try unceasingly to tempt people into sin .",mythology,are,"In | prep | ADP | [mythology]
Hebrew | amod | ADJ | [and, Arabic]
and | cc | CCONJ | []
Arabic | conj | ADJ | []
mythology | pobj | NOUN | [Hebrew]
, | punct | PUNCT | []
they | nsubj | PRON | []
are | ROOT | VERB | [In, ,, they, spirits, .]
evil | amod | ADJ | []
spirits | attr | NOUN | [evil, have]
who | nsubj | NOUN | []
have | relcl | VERB | [who, feet]
cock | poss | NOUN | [’s]
’s | case | PART | []
feet | dobj | NOUN | [cock]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
shedim,were ,later lore,"but unto the sons of the concubines , which abraham had , abraham gave gifts , and sent them away . ”  ===in later lore , the SHEDIM were hairy , wild demons who lived in the woods and danced .===they were known for their tricks , such as leaving human beings with grotesque deformities if they were displeased .  ",lore,were,"In | prep | ADP | [lore]
later | amod | ADJ | []
lore | pobj | NOUN | [later]
, | punct | PUNCT | []
the | det | DET | []
shedim | nsubj | NOUN | [the]
were | ROOT | VERB | [In, ,, shedim, DEMONs, .]
hairy | amod | ADJ | []
, | punct | PUNCT | []
wild | amod | ADJ | []
DEMONs | attr | NOUN | [hairy, ,, wild, lived]
who | nsubj | NOUN | []
lived | relcl | VERB | [who, in, and, danced]
in | prep | ADP | [woods]
the | det | DET | []
woods | pobj | NOUN | [the]
and | cc | CCONJ | []
danced | conj | VERB | []
. | punct | PUNCT | []"
Shaytan,is ,a name for Iblis,simon magus became the prototypical heretic and black magician .  ===SHAYTAN is a name for iblis .  ===see satan .  ,name,is,"Shaytan | nsubj | PROPN | []
is | ROOT | VERB | [Shaytan, name, .]
a | det | DET | []
name | attr | NOUN | [a, for]
for | prep | ADP | [Iblis]
Iblis | pobj | PROPN | []
. | punct | PUNCT | [ ]
  |  | SPACE | []"
shedim,are ,a man ’s “ demonic children,"shedim in hebrew demonology , evil spirits created by the union of a succubus or lil it h and a man .===the SHEDIM are a man ’s “ demonic children .===” when a man dies , they  ",children,are,"The | det | DET | []
shedim | nsubj | NOUN | [The]
are | ROOT | VERB | [shedim, children, .]
a | det | DET | []
man | poss | NOUN | [a, ’s]
’s | case | PART | []
“ | nmod | ADJ | []
demonic | amod | ADJ | []
children | attr | NOUN | [man, “, demonic]
. | punct | PUNCT | []"
emperor,was ,"impressed , however ,","he may have accomplished some of these feats through illusion and hypnosis .===the roman EMPEROR nero was impressed , however , and named him court magician .  ===according to the acts of peter , an apochryphal text , the apostle peter went to rome to challenge simon and expose him of fraud .",impressed,was,"The | det | DET | []
Roman | amod | ADJ | []
emperor | nsubj | NOUN | [The, Roman, Nero]
Nero | appos | PROPN | []
was | ROOT | VERB | [emperor, impressed, and, named, .]
impressed | acomp | ADJ | [,, however, ,]
, | punct | PUNCT | []
however | advmod | ADV | []
, | punct | PUNCT | []
and | cc | CCONJ | []
named | conj | VERB | [him, magician]
him | dobj | PRON | []
court | compound | NOUN | []
magician | oprd | NOUN | [court]
. | punct | PUNCT | [ ]
  |  | SPACE | []"
Witches,are ,physically present at SABBATs,"temporary demonologists , especially francesco - maria guazzo .===WITCHES and wizards are physically present at sabbats and copulate with the devil and demons as part of their infernal pact .===demons also have intercourse with people , appearing to them at night and impersonating human lovers .",present,are,"Witches | nsubj | NOUN | [and, wizards]
and | cc | CCONJ | []
wizards | conj | NOUN | []
are | ROOT | VERB | [Witches, present, and, copulate, .]
physically | advmod | ADV | []
present | acomp | ADJ | [physically, at]
at | prep | ADP | [SABBATs]
SABBATs | pobj | NOUN | []
and | cc | CCONJ | []
copulate | conj | VERB | [with]
with | prep | ADP | [DEVIL]
the | det | DET | []
DEVIL | pobj | PROPN | [the, and, demons]
and | cc | CCONJ | []
demons | conj | NOUN | [as]
as | prep | ADP | [part]
part | pobj | NOUN | [of]
of | prep | ADP | [PACT]
their | poss | ADJ | []
infernal | amod | ADJ | []
PACT | pobj | PROPN | [their, infernal]
. | punct | PUNCT | []"
Sinistrari,was ,popular as a preacher throughout Italy,"students from all over europe traveled to hear him lecture .===SINISTRARI also was popular as a preacher throughout italy .===good - looking and personable , he was well liked by royalty and the general public .  ",popular,was,"Sinistrari | nsubj | PROPN | []
also | advmod | ADV | []
was | ROOT | VERB | [Sinistrari, also, popular, .]
popular | acomp | ADJ | [as]
as | prep | ADP | [preacher]
a | det | DET | []
preacher | pobj | NOUN | [a, throughout]
throughout | prep | ADP | [Italy]
Italy | pobj | PROPN | []
. | punct | PUNCT | []"
Sinistrari,was in at,1688,"sinistrari served as consultant to the supreme tribunal of the most holy inquisition ; as vicar - general to the archbishop of avignon , france ; and as theologian to the cardinal - archbishop of milan .===by 1688 , SINISTRARI was in retreat at the franciscan sanctuary of sacro monte , where he wrote poetry .===he compiled the statutes of the order and wrote other works .",1688,was,"By | prep | ADP | [1688]
1688 | pobj | NUM | []
, | punct | PUNCT | []
Sinistrari | nsubj | PROPN | []
was | ROOT | VERB | [By, ,, Sinistrari, in, at, .]
in | prep | ADP | [retreat]
retreat | pobj | NOUN | []
at | prep | ADP | [sanctuary]
the | det | DET | []
Franciscan | compound | ADJ | []
sanctuary | pobj | NOUN | [the, Franciscan, of]
of | prep | ADP | [Monte]
Sacro | compound | PROPN | []
Monte | pobj | PROPN | [Sacro, ,, wrote]
, | punct | PUNCT | []
where | advmod | ADV | []
he | nsubj | PRON | []
wrote | relcl | VERB | [where, he, poetry]
poetry | dobj | NOUN | []
. | punct | PUNCT | []"
Demoniality,was among,Florence,"his manuscript demoniality ( de daemonialitate , et incubis et succubis ) remained unknown until 1872 , when the original was discovered in a london bookshop by isidore lisieux , a bibliophile .===the shop had acquired part of the collection of a man who had died in florence ; DEMONIALITY was among the manuscripts .===it was only 86 pages in length , handwritten in latin on italian parchment .",Florence,was,"The | det | DET | []
shop | nsubj | NOUN | [The]
had | aux | VERB | []
acquired | ccomp | VERB | [shop, had, part]
part | dobj | NOUN | [of]
of | prep | ADP | [collection]
the | det | DET | []
collection | pobj | NOUN | [the, of]
of | prep | ADP | [man]
a | det | DET | []
man | pobj | NOUN | [a, died]
who | nsubj | NOUN | []
had | aux | VERB | []
