subject_tree,object_tree,predicate_tree,sentence,parse_tree,subject,object_,predicate
Acheron,"the name of a modern river in Acarnania ( Epirus ) , which occasion- ally runs underground", is also,"the banks of the river were said to be peopled by the shades of the dead .  ===acheron is also the name of a modern river in acarnania ( epirus ) , which occasion- ally runs underground .===near its mouth there was a famous oracle of the dead , at ephyra , where mortals could obtain advice from the gods of the underworld .","Acheron | nsubj | PROPN | []
Star | appos | PROPN | [the, Demon, ß]
( | punct | PUNCT | []
ß | parataxis | NOUN | [(, Per, )]
Per | npadvmod | ADP | []
) | punct | PUNCT | []
, | punct | PUNCT | []
which | nsubj | ADJ | []
blinks | ccomp | VERB | [which, ,, varying]
, | punct | PUNCT | []
varying | advcl | VERB | [in]
in | prep | ADP | [brightness]
brightness | pobj | NOUN | [between]
between | prep | ADP | [tudes]
magni- | compound | ADJ | []
tudes | pobj | NOUN | [magni-, 2.06, days]
2.06 | nummod | NUM | [and, 3.28]
and | cc | CCONJ | []
3.28 | conj | NUM | []
every | det | DET | []
2.87 | nummod | NUM | []
days | npadvmod | NOUN | [every, 2.87]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Perseus,hold-,is
nymphs (he),"that great hero his bow , quiver , and poisoned arrows", received from,", he kindled the fire on mount oeta ; heracles immolated himself upon its flames .===in gratitude he received from that great hero his bow , quiver , and poisoned arrows .===renowned as an archer , philoctetes , once a suitor for the hand of helen , led a small force of seven ships to join the greek forces at the trojan war .","In | prep | ADP | [gratitude]
gratitude | pobj | NOUN | []
he | nsubj | PRON | []
received | ROOT | VERB | [In, he, from, .]
from | prep | ADP | [hero]
that | det | DET | []
great | amod | ADJ | []
hero | pobj | NOUN | [that, great, bow]
his | poss | ADJ | []
bow | appos | NOUN | [his, ,, quiver]
, | punct | PUNCT | []
quiver | conj | VERB | [,, and, arrows]
, | punct | PUNCT | []
and | cc | CCONJ | []
poisoned | amod | VERB | []
arrows | conj | NOUN | [poisoned]
. | punct | PUNCT | []",he,hero,received
The cult of the Muses,Mount Helicon,was carried to,"the southeastern coastal strip of macedonia , lying to the north of mount olympus , that was inhabited by thracian peoples who , in early times , worshipped the muses , hence called pierides .===the cult of the muses was probably carried to mount helicon from here .  ===pierides   greek   1 .","The | det | DET | []
cult | nsubjpass | NOUN | [The, of]
of | prep | ADP | [Muses]
the | det | DET | []
Muses | pobj | PROPN | [the]
was | auxpass | VERB | []
probably | advmod | ADV | []
carried | ROOT | VERB | [cult, was, probably, to, from, .]
to | prep | ADP | [Helicon]
Mount | compound | PROPN | []
Helicon | pobj | PROPN | [Mount]
from | prep | ADP | [here]
here | pcomp | ADV | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",cult,Helicon,carried
"Oenomaus , a son of Ares",the king, was ,"see also : ixion   pisa greek   the capital of pisatis in elis , very near olympia , its inhabitants constantly disputing the eleans for sponsorship of the olympic games ; they were finally overcome in 572 b.c. pelops came to elis with his followers after his expulsion from phrygia .===at this time oenomaus , a son of ares , was the king , but following an oracle who fore- told that he would be killed by his son - in - law he challenged all suitors for the hand of hippodameia to a chariot race , killing those who lost .===many suitors lost their lives before pelops arrived .","At | prep | ADP | [time]
this | det | DET | []
time | pobj | NOUN | [this]
Oenomaus | nsubj | PROPN | [,, son]
, | punct | PUNCT | []
a | det | DET | []
son | appos | NOUN | [a, of]
of | prep | ADP | [Ares]
Ares | pobj | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [At, Oenomaus, ,, king, ,, but, following, told, .]
the | det | DET | []
king | attr | NOUN | [the]
, | punct | PUNCT | []
but | cc | CCONJ | []
following | conj | VERB | [oracle]
an | det | DET | []
oracle | pobj | NOUN | [an, fore-]
who | det | NOUN | []
fore- | relcl | ADV | [who]
told | conj | VERB | [killed]
that | mark | ADP | []
he | nsubjpass | PRON | []
would | aux | VERB | []
be | auxpass | VERB | []
killed | ccomp | VERB | [that, he, would, be, by, challenged]
by | agent | ADP | [son]
his | poss | ADJ | []
son | pobj | NOUN | [his, -, in]
- | punct | PUNCT | []
in | prep | ADP | [-, law]
- | punct | PUNCT | []
law | pobj | NOUN | []
he | nsubj | PRON | []
challenged | conj | VERB | [he, suitors, for, to, ,, killing]
all | det | DET | []
suitors | dobj | NOUN | [all]
for | prep | ADP | [hand]
the | det | DET | []
hand | pobj | NOUN | [the, of]
of | prep | ADP | [Hippodameia]
Hippodameia | pobj | PROPN | []
to | prep | ADP | [race]
a | det | DET | []
chariot | compound | NOUN | []
race | pobj | NOUN | [a, chariot]
, | punct | PUNCT | []
killing | advcl | VERB | [those]
those | dobj | DET | [lost]
who | nsubj | NOUN | []
lost | relcl | VERB | [who]
. | punct | PUNCT | []",Oenomaus,king,was
centaur (she),the dimmest of the stars in the Pleiades cluster, is ,ple(i)one  ===she is the dimmest of the stars in the pleiades cluster .  ===astronomical :,"she | nsubj | PRON | []
is | ROOT | VERB | [she, dimmest, .]
the | det | DET | []
dimmest | attr | ADJ | [the, of]
of | prep | ADP | [stars]
the | det | DET | []
stars | pobj | NOUN | [the, in]
in | prep | ADP | [cluster]
the | det | DET | []
Pleiades | compound | PROPN | []
cluster | pobj | NOUN | [the, Pleiades]
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,dimmest,is
Both Atlas and Pleione,the group, are within,only six stars within the group are visi- ble to the unaided eye ; a small telescope shows more than 100 .===both atlas and pleione are within the group .  ===see also :,"Both | det | DET | []
Atlas | nsubj | PROPN | [Both, and, Pleione]
and | cc | CCONJ | []
Pleione | conj | PROPN | []
are | ROOT | VERB | [Atlas, within, .]
within | prep | ADP | [group]
the | det | DET | []
group | pobj | NOUN | [the]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Atlas,group,are
centaur (he),healers, were ,"podalirius   greek   son of asclepios , brother of machaon .===like his father , both he and his brother were healers , one of them being responsible for finally cur-===ing the festering and highly offensive wound of philoctetes .  ","Like | prep | ADP | [father]
his | poss | ADJ | []
father | pobj | NOUN | [his]
, | punct | PUNCT | []
both | preconj | CCONJ | []
he | nsubj | PRON | [both, and, brother]
and | cc | CCONJ | []
his | poss | ADJ | []
brother | conj | NOUN | [his]
were | ROOT | VERB | [Like, ,, he, healers, ,, being, cur-]
healers | attr | NOUN | []
, | punct | PUNCT | []
one | nsubj | NUM | [of]
of | prep | ADP | [them]
them | pobj | PRON | []
being | advcl | VERB | [one, responsible]
responsible | acomp | ADJ | [for]
for | prep | ADP | [finally]
finally | pcomp | ADV | []
cur- | punct | NOUN | []",he,healers,were
"The son of Leda by Zeus , who appeared to her in the form of a swan",the brother of Helen and Clytemnestra, was also,"brother of castor , hence one of the dioscuri , polydeuces was known as pollux to the romans , the name by which he is probably better known .===the son of leda by zeus , who appeared to her in the form of a swan , polydeuces was also the brother of helen and clytemnestra , though the relationships among leda ’s four children are confused .===some sources say that helen and polydeuces where fathered by zeus and born from an egg , whereas castor and clytemnestra were her children by her mortal husband , tyndareus .","The | det | DET | []
son | nsubj | NOUN | [The, of, by, ,, appeared]
of | prep | ADP | [Leda]
Leda | pobj | PROPN | []
by | prep | ADP | [Zeus]
Zeus | pobj | PROPN | []
, | punct | PUNCT | []
who | nsubj | NOUN | []
appeared | relcl | VERB | [who, to, in]
to | prep | ADP | [her]
her | pobj | PRON | []
in | prep | ADP | [form]
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [swan]
a | det | DET | []
swan | pobj | NOUN | [a]
, | punct | PUNCT | []
Polydeuces | nsubj | NOUN | []
was | ROOT | VERB | [son, ,, Polydeuces, also, brother, ,, are, .]
also | advmod | ADV | []
the | det | DET | []
brother | attr | NOUN | [the, of]
of | prep | ADP | [Helen]
Helen | pobj | PROPN | [and, Clytemnestra]
and | cc | CCONJ | []
Clytemnestra | conj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
the | det | DET | []
relationships | nsubj | NOUN | [the, among]
among | prep | ADP | [children]
Leda | poss | PROPN | [’s]
’s | case | PART | []
four | nummod | NUM | []
children | pobj | NOUN | [Leda, four]
are | advcl | VERB | [though, relationships, confused]
confused | acomp | ADJ | []
. | punct | PUNCT | []",son,brother,was
Poseidon,"the father of two giant sons by Iphimedeia , Otus and Ephialtes , collectively known as the Aloeidae after their stepfather , Aloeus", was ,"naturally , when the trojan war broke out poseidon sided with the greeks .  ===poseidon was the father of two giant sons by iphimedeia , otus and ephialtes , collectively known as the aloeidae after their stepfather , aloeus .===when aged just nine these boys de- cided to attack olympus to outrage hera and artemis , first having captured and imprisoned ares .","Poseidon | nsubj | PROPN | []
was | ROOT | VERB | [Poseidon, father, .]
the | det | DET | []
father | attr | NOUN | [the, of, ,, known]
of | prep | ADP | [sons]
two | nummod | NUM | []
giant | amod | ADJ | []
sons | pobj | NOUN | [two, giant, by]
by | prep | ADP | [Iphimedeia]
Iphimedeia | pobj | PROPN | [,, Otus]
, | punct | PUNCT | []
Otus | conj | PROPN | [and, Ephialtes]
and | cc | CCONJ | []
Ephialtes | conj | PROPN | []
, | punct | PUNCT | []
collectively | advmod | ADV | []
known | acl | VERB | [collectively, as, after]
as | prep | ADP | [Aloeidae]
the | det | DET | []
Aloeidae | pobj | PROPN | [the]
after | prep | ADP | [stepfather]
their | poss | ADJ | []
stepfather | pobj | NOUN | [their, ,, Aloeus]
, | punct | PUNCT | []
Aloeus | appos | PROPN | []
. | punct | PUNCT | []",Poseidon,father,was
Briareus,found- ed, were ,"he again disputed territory with athene , this time over troezen , and zeus judged that they should share it equally .===when briareus awarded him the corinthian   isthmus during another   dispute — this time with helios over corinth— the quadrennial isthmian games were found- ed in his honor , games that notably featured    260 poseidon   horse and chariot races .===when the river gods of argos awarded that region to hera in yet another dispute over earthly territory , posei- don dried up the rivers in anger , restoring them only after his liason with amymone , for whom he created the springs of argos with a single blow of his trident .  ","When | advmod | ADV | []
Briareus | nsubj | PROPN | []
awarded | advcl | VERB | [When, Briareus, him, isthmus, during, —, time, with, Games]
him | dative | PRON | []
the | det | DET | []
Corinthian | amod | PROPN | [ ]
  |  | SPACE | []
isthmus | dobj | NOUN | [the, Corinthian]
during | prep | ADP | [dispute]
another | det | DET | [ ]
  |  | SPACE | []
dispute | pobj | NOUN | [another]
— | punct | PUNCT | []
this | det | DET | []
time | dobj | NOUN | [this]
with | prep | ADP | [Helios]
Helios | pobj | PROPN | [Corinth—]
over | nmod | ADP | []
Corinth— | advmod | PROPN | [over]
the | det | DET | []
quadrennial | amod | ADJ | []
Isthmian | compound | PROPN | []
Games | dobj | PROPN | [the, quadrennial, Isthmian]
were | ROOT | VERB | [awarded, ed, in, ,, games, .]
found- | compound | ADJ | []
ed | attr | NOUN | [found-]
in | prep | ADP | [honor]
his | poss | ADJ | []
honor | pobj | NOUN | [his]
, | punct | PUNCT | []
games | attr | NOUN | [featured]
that | nsubj | ADJ | []
notably | advmod | ADV | []
featured | relcl | VERB | [that, notably,   , races]
   |  | SPACE | []
260 | nummod | NUM | []
Poseidon | nmod | PROPN | [ ]
  |  | SPACE | []
horse | nmod | NOUN | [and, chariot]
and | cc | CCONJ | []
chariot | conj | NOUN | []
races | dobj | NOUN | [260, Poseidon, horse]
. | punct | PUNCT | []",Briareus,ed,were
giants (he),the horse Arion and the nymph Despoena, being ,"his son halirrhothius was killed by ares , a crime for which he was tried before the gods and acquitted , the place of the trial becoming known as the areopagus .===in the form of a stallion he raped his sister , demeter , the offspring of this union being the horse arion and the nymph despoena .===some say that persephone was also born as a result of this mating , but usually the rape of demeter occurs while the goddess is wandering the earth in search of her lost daughter .  ","In | prep | ADP | [form]
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [stallion]
a | det | DET | []
stallion | pobj | NOUN | [a, raped]
he | nsubj | PRON | []
raped | relcl | VERB | [he, sister]
his | poss | ADJ | []
sister | dobj | NOUN | [his, ,, Demeter, ,]
, | punct | PUNCT | []
Demeter | appos | PROPN | []
, | punct | PUNCT | []
the | det | DET | []
offspring | nsubj | NOUN | [the, of]
of | prep | ADP | [union]
this | det | DET | []
union | pobj | NOUN | [this]
being | ROOT | VERB | [In, offspring, Arion, .]
the | det | DET | []
horse | compound | NOUN | [the]
Arion | attr | PROPN | [horse, and, nymph]
and | cc | CCONJ | []
the | det | DET | []
nymph | conj | NOUN | [the, Despoena]
Despoena | appos | PROPN | []
. | punct | PUNCT | []",he,Arion,being
"Another of his loves , Scylla",so hateful toward Amphitrite that the latter turned her into a monster with six barking heads and 12 feet, was so,"some say that persephone was also born as a result of this mating , but usually the rape of demeter occurs while the goddess is wandering the earth in search of her lost daughter .  ===another of his loves , scylla , was so hateful toward amphitrite that the latter turned her into a monster with six barking heads and 12 feet .===poseidon also loved tyro , mother of his children pelias and neleus , and aethra , the mother of his most famous son , theseus , whose prayer he answered , sending a bull that either killed or helped cause the death of theseus ’s son , hippolytus .","Another | nsubj | DET | [of, ,, Scylla]
of | prep | ADP | [loves]
his | poss | ADJ | []
loves | pobj | NOUN | [his]
, | punct | PUNCT | []
Scylla | appos | PROPN | []
, | punct | PUNCT | []
was | ROOT | VERB | [Another, ,, hateful, .]
so | advmod | ADV | []
hateful | acomp | ADJ | [so, toward, turned]
toward | prep | ADP | [Amphitrite]
Amphitrite | pobj | PROPN | []
that | mark | ADP | []
the | det | DET | []
latter | nsubj | NOUN | [the]
turned | ccomp | VERB | [that, latter, her, into]
her | dobj | PRON | []
into | prep | ADP | [monster]
a | det | DET | []
monster | pobj | NOUN | [a, with]
with | prep | ADP | [heads]
six | nummod | NUM | []
barking | amod | VERB | []
heads | pobj | NOUN | [six, barking, and, feet]
and | cc | CCONJ | []
12 | nummod | NUM | []
feet | conj | NOUN | [12]
. | punct | PUNCT | []",Another,hateful,was
Poseidon,"the father of the renowned bully named Amycus , king of Bebrycos , who challenged all strangers to a boxing match and killed them", was also,"perseus later used the severed head to turn cetus , the sea monster sent by poseidon to ravage aethiopia after cassiopeia ’s boast , to stone .  ===poseidon was also the father of the renowned bully named amycus , king of bebrycos , who challenged all strangers to a boxing match and killed them .===when the argonauts arrived on bebrycos , polydeuces met the challenge and killed amycus .","Poseidon | nsubj | PROPN | []
was | ROOT | VERB | [Poseidon, also, father, .]
also | advmod | ADV | []
the | det | DET | []
father | attr | NOUN | [the, of]
of | prep | ADP | [bully]
the | det | DET | []
renowned | amod | ADJ | []
bully | pobj | NOUN | [the, renowned, named, ,, king, ,, challenged]
named | acl | VERB | [Amycus]
Amycus | oprd | PROPN | []
, | punct | PUNCT | []
king | appos | NOUN | [of]
of | prep | ADP | [Bebrycos]
Bebrycos | pobj | PROPN | []
, | punct | PUNCT | []
who | nsubj | NOUN | []
challenged | relcl | VERB | [who, strangers, to, and, killed]
all | det | DET | []
strangers | dobj | NOUN | [all]
to | prep | ADP | [match]
a | det | DET | []
boxing | compound | NOUN | []
match | pobj | NOUN | [a, boxing]
and | cc | CCONJ | []
killed | conj | VERB | [them]
them | dobj | PRON | []
. | punct | PUNCT | []",Poseidon,father,was
Poseidon,the lover of Pelops, was also,"making good their escape they had to contend with the ven- geance of polyphemus ’s father , poseidon , who shipwrecked them on more than one occasion .  ===poseidon was also the lover of pelops and gave him the divine chariot in which he won his race with oenomaus , though pelops ensured victory by bribing myrtilus , whom he later killed .  ===sacrifices to poseidon were usually black and white bulls , though horses were also offered to him .","Poseidon | nsubj | PROPN | []
was | ROOT | VERB | [Poseidon, also, lover, and, gave, .]
also | advmod | ADV | []
the | det | DET | []
lover | attr | NOUN | [the, of]
of | prep | ADP | [Pelops]
Pelops | pobj | PROPN | []
and | cc | CCONJ | []
gave | conj | VERB | [him, chariot, ,, ensured]
him | dative | PRON | []
the | det | DET | []
divine | amod | ADJ | []
chariot | dobj | NOUN | [the, divine, won]
in | prep | ADP | [which]
which | pobj | ADJ | []
he | nsubj | PRON | []
won | relcl | VERB | [in, he, race]
his | poss | ADJ | []
race | dobj | NOUN | [his, with]
with | prep | ADP | [Oenomaus]
Oenomaus | pobj | PROPN | []
, | punct | PUNCT | []
though | mark | ADP | []
Pelops | nsubj | NOUN | []
ensured | advcl | VERB | [though, Pelops, victory, by]
victory | dobj | NOUN | []
by | prep | ADP | [bribing]
bribing | pcomp | VERB | [Myrtilus]
Myrtilus | dobj | PROPN | [,, killed]
, | punct | PUNCT | []
whom | dobj | NOUN | []
he | nsubj | PRON | []
later | advmod | ADV | []
killed | relcl | VERB | [whom, he, later]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Poseidon,lover,was
Sacrifices to Poseidon,black and white bulls, were usually,"poseidon was also the lover of pelops and gave him the divine chariot in which he won his race with oenomaus , though pelops ensured victory by bribing myrtilus , whom he later killed .  ===sacrifices to poseidon were usually black and white bulls , though horses were also offered to him .===his attributes were the trident , the horse , and the dolphin , and he was usu- ally represented as a mature , bearded man , naked from the waist up , accompanied by amphitrite , triton , nereides , and dolphins and sometimes also a tunny fish .","Sacrifices | nsubj | NOUN | [to]
to | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
were | ROOT | VERB | [Sacrifices, usually, bulls, ,, offered, .]
usually | advmod | ADV | []
black | amod | ADJ | [and, white]
and | cc | CCONJ | []
white | conj | ADJ | []
bulls | attr | NOUN | [black]
, | punct | PUNCT | []
though | mark | ADP | []
horses | nsubjpass | NOUN | []
were | auxpass | VERB | []
also | advmod | ADV | []
offered | advcl | VERB | [though, horses, were, also, to]
to | dative | ADP | [him]
him | pobj | PRON | []
. | punct | PUNCT | []",Sacrifices,bulls,were
ate (he),most generally repre-, was most generally,"see also : hecuba ; paris ; trojan war   priapus   greco - roman   son of dionysos and aphrodite ( roman : bacchus and venus ) , a god of fruitfulness , of animal and vegetable fertility .===originating in asia minor , he was most generally repre- sented in the form of a small , grotesque , and misshapen caricature of the human form , usu- ally a pillar with a human torso and head with an enormous phallus , the latter reportedly given to him by hera .===he functioned as a ter- ritory marker , a guardian of gardens and orchards , and later one of herds .","Originating | advcl | VERB | [in]
in | prep | ADP | [Minor]
Asia | compound | PROPN | []
Minor | pobj | PROPN | [Asia]
, | punct | PUNCT | []
he | nsubj | PRON | []
was | ROOT | VERB | [Originating, ,, he, repre-, sented, given]
most | advmod | ADV | []
generally | advmod | ADV | [most]
repre- | acomp | VERB | [generally]
sented | advcl | VERB | [in]
in | prep | ADP | [form]
the | det | DET | []
form | pobj | NOUN | [the, of]
of | prep | ADP | [caricature]
a | det | DET | []
small | amod | ADJ | []
, | punct | PUNCT | []
grotesque | amod | ADJ | [,, ,, and, misshapen]
, | punct | PUNCT | []
and | cc | CCONJ | []
misshapen | conj | ADJ | []
caricature | pobj | NOUN | [a, small, grotesque, of]
of | prep | ADP | [form]
the | det | DET | []
human | amod | ADJ | []
form | pobj | NOUN | [the, human, ,, ally]
, | punct | PUNCT | []
usu- | compound | DET | []
ally | appos | NOUN | [usu-, pillar]
a | det | DET | []
pillar | appos | NOUN | [a, with]
with | prep | ADP | [torso]
a | det | DET | []
human | amod | ADJ | []
torso | pobj | NOUN | [a, human, and, head]
and | cc | CCONJ | []
head | conj | NOUN | [with]
with | prep | ADP | [phallus]
an | det | DET | []
enormous | amod | ADJ | []
phallus | pobj | NOUN | [an, enormous]
, | punct | PUNCT | []
the | det | DET | []
latter | nsubj | ADJ | [the]
reportedly | advmod | ADV | []
given | conj | VERB | [,, latter, reportedly, to, by, .]
to | dative | ADP | [him]
him | pobj | PRON | []
by | agent | ADP | [Hera]
Hera | pobj | PROPN | []
. | punct | PUNCT | []",he,repre-,was
nymph (he),bet- ter known as the Delphic Oracle, is ,"the two most popu- lar concepts regarding the pythia — that she either chewed laurel leaves or inhaled nox- ious vapors from a nearby chasm below the temple in order to induce her trance — have been shown to have no basis in fact .   ===pyth ~ ian , ~ius   greek   name applied to apollo at his dorian shrine at delphi , where he was also known as loxias , “ the ambiguous , ” near the spring named castalia on mount parnassus ; the shrine is bet- ter known as the delphic oracle .  ===python greek  ","Pyth | npadvmod | PROPN | [~, ian]
~ | punct | PUNCT | []
ian | appos | PROPN | []
, | punct | PUNCT | []
~ius | det | VERB | [ ]
  |  | SPACE | []
Greek | amod | PROPN | [ ]
  |  | SPACE | []
Name | nsubj | NOUN | [~ius, Greek]
applied | ccomp | VERB | [Pyth, ,, Name, to, at, ”]
to | prep | ADP | [Apollo]
Apollo | pobj | PROPN | []
at | prep | ADP | [shrine]
his | poss | ADJ | []
Dorian | amod | PROPN | []
shrine | pobj | NOUN | [his, Dorian, at]
at | prep | ADP | [Delphi]
Delphi | pobj | PROPN | [,, known]
, | punct | PUNCT | []
where | advmod | ADV | []
he | nsubjpass | PRON | []
was | auxpass | VERB | []
also | advmod | ADV | []
known | relcl | VERB | [where, he, was, also, as]
as | prep | ADP | [Loxias]
Loxias | pobj | PROPN | [,, “, Ambiguous, ,]
, | punct | PUNCT | []
“ | appos | ADV | []
the | det | DET | []
Ambiguous | appos | ADJ | [the]
, | punct | PUNCT | []
” | punct | NOUN | [near]
near | prep | ADP | [spring]
the | det | DET | []
spring | pobj | NOUN | [the, named]
named | acl | VERB | [Castalia]
Castalia | oprd | PROPN | [on]
on | prep | ADP | [Parnassus]
Mount | compound | PROPN | []
Parnassus | pobj | PROPN | [Mount]
; | punct | PUNCT | []
the | det | DET | []
shrine | nsubj | NOUN | [the]
is | ROOT | VERB | [applied, ;, shrine, ter, .]
bet- | compound | DET | []
ter | attr | NOUN | [bet-, known]
known | acl | VERB | [as]
as | prep | ADP | [Oracle]
the | det | DET | []
Delphic | compound | PROPN | []
Oracle | pobj | PROPN | [the, Delphic]
. | punct | PUNCT | [ ]
  |  | SPACE | []",he,ter,is
nymphs (she),her half of the bargain, carried ,"this proposal being agreed upon ,   ruminalis fig tree 271  ===she carried out her half of the bargain , but when the time came for payment the sabines hurled their shields at her , and she was killed , an episode that demonstrated the sabines’ feeling that a traitor should never be trusted or rewarded .  ===the sabines now attacked romulus under the leadership of their champion , mettius curtius , but he was overconfident , and his horse foundered in the swamps on the site of what later became the forum .","she | nsubj | PRON | []
carried | ROOT | VERB | [she, out, half, ,, but, hurled]
out | prt | PART | []
her | poss | ADJ | []
half | dobj | NOUN | [her, of]
of | prep | ADP | [bargain]
the | det | DET | []
bargain | pobj | NOUN | [the]
, | punct | PUNCT | []
but | cc | CCONJ | []
when | advmod | ADV | []
the | det | DET | []
time | nsubj | NOUN | [the]
came | advcl | VERB | [when, time, for]
for | prep | ADP | [payment]
payment | pobj | NOUN | []
the | det | DET | []
Sabines | nsubj | PROPN | [the]
hurled | conj | VERB | [came, Sabines, shields, at, ,, and, killed, .]
their | poss | ADJ | []
shields | dobj | NOUN | [their]
at | prep | ADP | [her]
her | pobj | PRON | []
, | punct | PUNCT | []
and | cc | CCONJ | []
she | nsubjpass | PRON | []
was | auxpass | VERB | []
killed | conj | VERB | [she, was, ,, episode]
, | punct | PUNCT | []
an | det | DET | []
episode | appos | NOUN | [an, demonstrated]
that | nsubj | ADJ | []
demonstrated | relcl | VERB | [that, feeling]
the | det | DET | []
Sabines’ | compound | PROPN | []
feeling | dobj | NOUN | [the, Sabines’, trusted]
that | mark | ADP | []
a | det | DET | []
traitor | nsubjpass | NOUN | [a]
should | aux | VERB | []
never | neg | ADV | []
be | auxpass | VERB | []
trusted | acl | VERB | [that, traitor, should, never, be, or, rewarded]
or | cc | CCONJ | []
rewarded | conj | VERB | []
. | punct | PUNCT | [ ]
  |  | SPACE | []",she,half,carried
The temple of Hera,one of the Seven Wonders of the World, was ,"legend said that zeus and hera spent their wedding night on the island , which became an important center , along with argos , for the worship of the goddess .===the temple of hera was one of the seven wonders of the world .===the foundations and single column that survive are of the late sixth century b.c.","The | det | DET | []
temple | nsubj | NOUN | [The, of]
of | prep | ADP | [Hera]
Hera | pobj | PROPN | []
was | ROOT | VERB | [temple, one, .]
one | attr | NUM | [of]
of | prep | ADP | [Wonders]
the | det | DET | []
Seven | compound | PROPN | []
Wonders | pobj | PROPN | [the, Seven, of]
of | prep | ADP | [World]
the | det | DET | []
World | pobj | PROPN | [the]
. | punct | PUNCT | []",temple,one,was
nymph (she),the daughter of Phorcys and one of the various lovers of Poseidon, was ,"there are two versions of how scylla came to be a monster .===in the first she was the daughter of phorcys and one of the various lovers of poseidon ; but she was so hateful toward amphitrite that the lat- ter turned her into the monster .===the second says that she was a nymph whom glaucus loved and was turned into the monster by the jealous circe , who also loved glaucus .  ","In | prep | ADP | [first]
the | det | DET | []
first | pobj | ADJ | [the]
she | nsubj | PRON | []
was | ROOT | VERB | [In, she, daughter, ;, but, was]
the | det | DET | []
daughter | attr | NOUN | [the, of, and, one]
of | prep | ADP | [Phorcys]
Phorcys | pobj | PROPN | []
and | cc | CCONJ | []
one | conj | NUM | [of]
of | prep | ADP | [lovers]
the | det | DET | []
various | amod | ADJ | []
lovers | pobj | NOUN | [the, various, of]
of | prep | ADP | [Poseidon]
Poseidon | pobj | PROPN | []
; | punct | PUNCT | []
but | cc | CCONJ | []
she | nsubj | PRON | []
was | conj | VERB | [she, hateful, turned, .]
so | advmod | ADV | []
hateful | acomp | ADJ | [so, toward]
toward | prep | ADP | [Amphitrite]
Amphitrite | pobj | PROPN | []
that | mark | ADP | []
the | det | DET | []
lat- | amod | NOUN | []
ter | nsubj | NOUN | [the, lat-]
turned | ccomp | VERB | [that, ter, her, into]
her | dobj | PRON | []
into | prep | ADP | [monster]
the | det | DET | []
monster | pobj | NOUN | [the]
. | punct | PUNCT | []",she,daughter,was
An important site for the worship of Aphrodite,a priestess here, was ,"settlement on the european shore of the hellespont at its narrowest point opposite abydos .===an important site for the worship of aphrodite , hero was a priestess here .===every night leander , her lover , swam the channel from abydos , but one night her guide lamp blew out in a storm , and leander drowned .","An | det | DET | []
important | amod | ADJ | []
site | nsubj | NOUN | [An, important, for]
for | prep | ADP | [worship]
the | det | DET | []
worship | pobj | NOUN | [the, of]
of | prep | ADP | [Aphrodite]
Aphrodite | pobj | PROPN | []
, | punct | PUNCT | []
Hero | nsubj | PROPN | []
was | ROOT | VERB | [site, ,, Hero, priestess, .]
a | det | DET | []
priestess | attr | NOUN | [a, here]
here | advmod | ADV | []
. | punct | PUNCT | []",site,priestess,was
Silenus,prophetic powers, appears ,"often older , fatter , and far drunker than the lusty satyrs , they are also , surprisingly , the purvey- ors of wisdom .===silenus appears to have had prophetic powers .  ===silenus greek  ","Silenus | nsubj | PROPN | []
appears | ROOT | VERB | [Silenus, had, .]
to | aux | PART | []
have | aux | VERB | []
had | xcomp | VERB | [to, have, powers]
prophetic | amod | ADJ | []
powers | dobj | NOUN | [prophetic]
. | punct | PUNCT | [ ]
  |  | SPACE | []",Silenus,powers,appears
Sirius,magnitude, is ,"it is the brightest object in the sky except for the sun , moon , venus , and jupiter .===located in the southern celestial hemisphere at approximate right ascension 6h45 m , declination -17 ° , sirius is magnitude –1.45 , spectral type a1v ; at nine  ===sisyphus   greek   son of aeolus , sisyphus married merope the pleiad , who bore him glaucus .","Located | advcl | VERB | [in, at, m]
in | prep | ADP | [hemisphere]
the | det | DET | []
southern | amod | ADJ | []
celestial | amod | ADJ | [southern]
hemisphere | pobj | NOUN | [the, celestial]
at | prep | ADP | [ascension]
approximate | amod | ADJ | []
right | amod | ADJ | []
ascension | pobj | NOUN | [approximate, right]
6h45 | nummod | NUM | []
m | dep | NOUN | [6h45, ,, declination, -17]
, | punct | PUNCT | []
declination | appos | NOUN | []
-17 | punct | PUNCT | []
° | punct | PROPN | []
, | punct | PUNCT | []
Sirius | nsubj | PROPN | []
is | ROOT | VERB | [Located, °, ,, Sirius, –1.45, at]
magnitude | npadvmod | NOUN | []
–1.45 | attr | ADJ | [magnitude, ,, type]
, | punct | PUNCT | []
spectral | amod | ADJ | []
type | appos | NOUN | [spectral]
A1V | punct | NOUN | []
; | punct | PUNCT | [A1V]
at | prep | ADP | [;, nine]
nine | pobj | NUM | [ ]
